Precinct	total_votes	votes|Daniel William Lipinski
11001	265	265
11004	259	259
11005	347	347
11008	271	271
11009	242	242
11010	240	240
11011	248	248
11012	360	360
11013	314	314
11015	109	109
11016	192	192
11017	336	336
11018	237	237
11019	362	362
11020	181	181
11021	406	406
11022	347	347
11023	179	179
11024	360	360
11025	318	318
11026	325	325
11027	104	104
11028	139	139
11029	298	298
11031	256	256
11032	130	130
11037	2	2
12001	281	281
12003	253	253
12004	305	305
12005	88	88
12008	8	8
12009	232	232
12019	273	273
12023	287	287
13001	240	240
13002	245	245
13003	217	217
13004	272	272
13005	338	338
13006	283	283
13007	251	251
13008	198	198
13009	259	259
13010	218	218
13011	310	310
13012	262	262
13013	327	327
13014	279	279
13015	484	484
13016	225	225
13017	258	258
13018	211	211
13020	156	156
13021	301	301
13022	309	309
13023	240	240
13024	273	273
13025	299	299
13026	343	343
13027	283	283
13028	240	240
13029	232	232
13030	231	231
13031	295	295
13032	248	248
13033	243	243
13034	407	407
13035	266	266
13036	177	177
13037	313	313
13038	208	208
13039	299	299
13040	249	249
13041	245	245
13042	239	239
13043	310	310
13044	423	423
13045	366	366
13046	343	343
13047	317	317
13048	264	264
14001	289	289
14004	222	222
14005	83	83
14007	305	305
14008	287	287
14009	313	313
14012	261	261
14018	118	118
14021	254	254
14022	333	333
14023	218	218
14024	289	289
14025	3	3
14026	201	201
14029	244	244
15001	226	226
15005	61	61
15008	93	93
15013	129	129
15014	200	200
15015	202	202
15016	243	243
15019	199	199
16001	258	258
16007	9	9
16023	204	204
16032	249	249
16035	81	81
18015	291	291
18024	257	257
18025	246	246
18030	296	296
18040	327	327
18043	221	221
18046	306	306
19001	233	233
19002	13	13
19003	164	164
19004	253	253
19005	95	95
19006	232	232
19007	253	253
19008	245	245
19009	187	187
19010	279	279
19011	167	167
19012	185	185
19015	266	266
19016	250	250
19017	222	222
19018	252	252
19019	340	340
19021	191	191
19022	243	243
19023	264	264
19024	175	175
19025	188	188
19026	237	237
19029	215	215
19030	219	219
19032	222	222
19033	234	234
19034	242	242
19035	251	251
19041	205	205
19044	269	269
19045	250	250
19046	259	259
19050	224	224
19051	341	341
19052	250	250
19053	228	228
19054	157	157
19055	177	177
19056	294	294
19057	162	162
20004	50	50
20015	123	123
20020	2	2
22001	176	176
22002	291	291
22008	315	315
22012	230	230
22023	316	316
23001	274	274
23002	229	229
23003	218	218
23004	308	308
23005	287	287
23006	322	322
23007	255	255
23008	304	304
23009	109	109
23010	343	343
23011	335	335
23012	221	221
23014	210	210
23015	224	224
23016	238	238
23017	115	115
23018	223	223
23019	73	73
23020	178	178
23021	243	243
23022	259	259
23023	260	260
23025	244	244
23026	244	244
23027	228	228
23028	250	250
23029	212	212
23030	328	328
23031	168	168
23032	291	291
23033	304	304
23034	154	154
23035	167	167
23036	225	225
23037	205	205
23038	222	222
23039	99	99
Berwyn Ward 1 Precinct 2	241	241
Berwyn Ward 1 Precinct 3	362	362
Berwyn Ward 1 Precinct 4	213	213
Berwyn Ward 2 Precinct 2	234	234
Berwyn Ward 2 Precinct 3	312	312
Cicero 5	360	360
Cicero 6	210	210
Cicero 11	260	260
Cicero 13	232	232
Cicero 20	198	198
Lemont 1	134	134
Lemont 2	110	110
Lemont 3	164	164
Lemont 4	154	154
Lemont 5	193	193
Lemont 6	205	205
Lemont 7	151	151
Lemont 8	191	191
Lemont 9	76	76
Lemont 10	132	132
Lemont 11	191	191
Lemont 12	144	144
Lemont 13	160	160
Lemont 14	132	132
Lyons 1	26	26
Lyons 2	217	217
Lyons 3	245	245
Lyons 4	415	415
Lyons 5	221	221
Lyons 6	172	172
Lyons 7	258	258
Lyons 8	134	134
Lyons 9	279	279
Lyons 10	221	221
Lyons 11	167	167
Lyons 13	131	131
Lyons 14	211	211
Lyons 15	232	232
Lyons 16	368	368
Lyons 18	187	187
