Precinct	total_votes	votes|Luis Arroyo
01002	330	330
01017	3	3
01026	63	63
26024	3	3
26037	366	366
29015	17	17
29023	109	109
29024	28	28
29029	95	95
29030	251	251
29031	214	214
29036	307	307
29038	409	409
29039	367	367
30002	410	410
30005	345	345
30006	336	336
30009	106	106
30010	476	476
30011	415	415
30012	408	408
30013	381	381
30014	290	290
30016	199	199
30019	317	317
30021	305	305
30029	276	276
30030	201	201
31003	280	280
31004	250	250
31014	54	54
31015	243	243
31016	187	187
31019	245	245
31021	97	97
31022	281	281
31025	267	267
31031	258	258
31039	324	324
35002	406	406
35003	155	155
35007	462	462
35008	484	484
35014	376	376
35018	378	378
35019	185	185
35021	54	54
36001	446	446
36002	424	424
36003	369	369
36004	433	433
36005	402	402
36006	345	345
36007	396	396
36008	362	362
36009	366	366
36010	450	450
36011	343	343
36012	126	126
36013	295	295
36015	397	397
36018	74	74
36019	477	477
36021	372	372
36022	381	381
36023	375	375
36024	392	392
36025	421	421
36026	323	323
36027	364	364
36028	339	339
36029	403	403
36030	392	392
37022	173	173
37026	54	54
38004	345	345
38008	341	341
38010	356	356
38016	362	362
38021	5	5
38037	380	380
38039	292	292
Leyden 28	251	251
Leyden 34	139	139
