Precinct	total_votes	votes|Martin A. Sandoval
12002	339	339
12006	385	385
12007	433	433
12010	404	404
12011	415	415
12012	427	427
12013	90	90
12014	388	388
12015	370	370
12016	388	388
12017	264	264
12018	364	364
12020	520	520
12022	411	411
13001	281	281
13002	263	263
13003	277	277
13004	355	355
13005	429	429
13006	306	306
13007	300	300
13008	270	270
13009	360	360
13010	278	278
13011	344	344
13012	314	314
13013	333	333
13014	346	346
13015	549	549
13016	267	267
13017	318	318
13018	267	267
13019	442	442
13020	216	216
13021	360	360
13022	353	353
13023	300	300
13024	315	315
13025	362	362
13026	347	347
13027	315	315
13028	283	283
13029	312	312
13030	281	281
13031	337	337
13032	273	273
13033	289	289
13034	384	384
13035	309	309
13036	235	235
13037	391	391
13038	262	262
13039	361	361
13040	281	281
13041	429	429
13042	294	294
13043	344	344
13044	343	343
13045	347	347
13046	451	451
13047	416	416
13048	284	284
14001	32	32
14003	467	467
14006	39	39
14010	2	2
14011	275	275
14015	489	489
14018	111	111
14022	353	353
14023	87	87
15006	425	425
15009	52	52
15010	274	274
15011	214	214
15012	56	56
18015	430	430
18043	258	258
18046	249	249
22004	135	135
22005	9	9
22007	55	55
22010	525	525
22013	213	213
22014	312	312
22015	289	289
22016	308	308
22017	53	53
22018	203	203
22019	2	2
22022	345	345
23001	328	328
23002	321	321
23004	407	407
23005	411	411
23006	297	297
23007	388	388
23008	433	433
23009	361	361
23010	458	458
23011	463	463
23012	302	302
23013	362	362
23014	39	39
23015	356	356
23016	308	308
23017	94	94
23018	294	294
23020	263	263
23021	319	319
23022	273	273
23023	307	307
23024	136	136
23025	68	68
23026	212	212
23027	291	291
23028	330	330
23029	287	287
23030	453	453
23032	389	389
23033	430	430
23034	401	401
23035	255	255
23036	316	316
23037	199	199
23038	304	304
23039	400	400
24016	378	378
Berwyn Ward 1 Precinct 2	18	18
Cicero 5	11	11
Cicero 6	499	499
Cicero 13	311	311
Cicero 20	411	411
Lyons 1	56	56
Lyons 3	450	450
Lyons 19	564	564
Lyons 22	360	360
Lyons 30	80	80
Lyons 32	193	193
Lyons 37	373	373
Lyons 56	768	768
Lyons 57	592	592
Lyons 59	451	451
Lyons 60	826	826
Lyons 64	493	493
Lyons 66	337	337
Riverside 2	47	47
Riverside 3	319	319
Riverside 4	642	642
Stickney 1	240	240
Stickney 2	421	421
Stickney 3	723	723
Stickney 16	575	575
Stickney 17	132	132
Stickney 19	453	453
Stickney 20	421	421
