Precinct	total_votes	votes|Danny K. Davis	votes|Thomas Day
01012	307	171	136
01014	78	53	25
01015	44	33	11
01032	116	74	42
02002	190	124	66
02009	192	140	52
02010	205	155	50
02011	218	156	62
02012	204	178	26
02013	250	176	74
02014	269	163	106
02017	304	186	118
02018	238	165	73
02019	165	126	39
02020	85	61	24
02021	4	4	0
02023	177	122	55
02027	204	126	78
02028	18	14	4
02029	231	142	89
02032	186	120	66
02034	204	144	60
02035	226	144	82
02036	185	121	64
02038	175	115	60
02039	153	110	43
02040	208	142	66
02041	178	117	61
02042	239	154	85
02043	248	180	68
02045	285	219	66
02046	141	88	53
03001	530	465	65
03002	528	473	55
03003	346	285	61
03004	58	49	9
03005	313	277	36
03006	303	210	93
03008	407	345	62
03009	436	377	59
03010	233	213	20
03011	442	382	60
03012	407	379	28
03013	374	258	116
03014	346	249	97
03015	444	388	56
03016	423	368	55
03017	374	296	78
03018	411	345	66
03019	296	224	72
03020	446	387	59
03021	348	283	65
03022	375	240	135
03023	301	262	39
03024	374	326	48
03025	399	284	115
03026	410	317	93
03027	302	214	88
03028	298	271	27
03029	432	365	67
03030	33	28	5
03031	490	429	61
03032	348	249	99
03033	324	225	99
03034	386	284	102
03035	18	17	1
03036	245	212	33
03037	363	327	36
03039	336	237	99
03040	418	342	76
04002	346	237	109
04004	485	418	67
04005	438	378	60
04006	506	438	68
04007	504	449	55
04008	40	36	4
04010	507	435	72
04011	301	265	36
04013	286	196	90
04014	71	63	8
04015	144	123	21
04016	393	264	129
04017	390	244	146
04020	316	231	85
04021	415	277	138
04022	11	10	1
04025	339	236	103
04028	228	198	30
04029	143	122	21
04030	39	36	3
04034	379	329	50
04035	549	488	61
04036	203	174	29
04037	371	266	105
06021	141	118	23
11002	50	36	14
11006	337	218	119
11007	504	325	179
11014	133	86	47
11030	152	105	47
11033	282	188	94
11034	77	59	18
11035	62	47	15
11036	114	71	43
11037	96	71	25
12010	51	37	14
12015	68	51	17
12018	14	9	5
15002	222	185	37
15003	225	193	32
15007	269	229	40
15013	136	78	58
15014	37	32	5
15016	7	6	1
15017	237	209	28
15018	260	206	54
15020	202	168	34
15021	253	222	31
15022	265	229	36
15023	291	258	33
15024	252	210	42
16002	306	256	50
16003	254	215	39
16004	242	205	37
16005	276	243	33
16006	286	240	46
16007	258	217	41
16008	208	174	34
16009	23	18	5
16010	268	218	50
16011	285	226	59
16012	257	219	38
16013	282	204	78
16014	244	209	35
16015	318	273	45
16016	302	262	40
16017	284	212	72
16018	271	207	64
16019	288	235	53
16020	264	229	35
16021	241	204	37
16022	274	234	40
16023	31	24	7
16024	197	171	26
16025	296	243	53
16026	252	217	35
16027	237	207	30
16029	276	237	39
16031	230	201	29
16033	263	231	32
16034	214	187	27
16035	196	136	60
16036	216	195	21
17006	161	130	31
17007	320	230	90
17008	2	1	1
17012	275	201	74
17013	286	246	40
17014	322	259	63
17016	177	138	39
17019	226	195	31
17025	8	6	2
17031	219	190	29
17033	147	126	21
17035	29	26	3
17036	58	47	11
20002	158	139	19
20004	90	76	14
20006	199	170	29
20011	215	190	25
20015	150	109	41
20017	180	144	36
20020	248	162	86
20021	279	247	32
20025	276	248	28
20027	194	170	24
20030	120	105	15
20031	189	156	33
20032	353	304	49
20036	129	108	21
20037	1	1	0
20038	150	129	21
20039	56	43	13
22014	81	60	21
22015	0	0	0
22019	169	154	15
22021	413	375	38
23017	85	56	29
23019	180	123	57
23031	10	7	3
24001	297	264	33
24002	340	294	46
24003	326	294	32
24004	323	293	30
24005	201	183	18
24006	337	308	29
24007	168	116	52
24008	167	153	14
24009	347	305	42
24010	188	166	22
24011	377	336	41
24012	223	202	21
24013	191	173	18
24014	328	294	34
24015	200	182	18
24016	216	160	56
24017	280	255	25
24018	363	324	39
24019	379	347	32
24020	255	238	17
24021	170	156	14
24022	438	395	43
24023	292	256	36
24024	420	385	35
24025	303	286	17
24026	431	397	34
24027	357	324	33
24028	257	242	15
24029	238	207	31
24030	187	171	16
24031	378	347	31
24032	182	160	22
24033	182	161	21
24034	297	264	33
24035	312	280	32
24036	398	366	32
24037	203	186	17
24038	253	218	35
24039	350	308	42
24040	339	315	24
24041	243	226	17
25003	290	181	109
25004	321	261	60
25006	85	57	28
25010	276	175	101
25014	173	129	44
25016	232	127	105
25018	163	121	42
25020	324	295	29
25021	384	251	133
25025	258	168	90
25027	232	148	84
25029	320	278	42
25031	278	169	109
26001	94	58	36
26003	233	128	105
26004	202	157	45
26010	167	117	50
26017	170	103	67
26019	165	131	34
26021	305	216	89
26027	73	38	35
26028	93	58	35
26033	175	106	69
26036	171	96	75
26039	101	67	34
26045	61	42	19
26046	136	81	55
27001	207	122	85
27002	319	248	71
27003	225	201	24
27004	201	157	44
27005	236	212	24
27006	231	190	41
27008	303	269	34
27009	101	69	32
27010	386	338	48
27011	196	121	75
27013	290	262	28
27014	212	191	21
27015	242	222	20
27016	184	110	74
27017	330	285	45
27018	287	255	32
27019	239	207	32
27020	321	281	40
27021	190	127	63
27022	220	199	21
27023	286	262	24
27024	267	231	36
27025	271	235	36
27026	296	261	35
27027	347	292	55
27028	141	114	27
27029	268	238	30
27030	206	192	14
27031	290	259	31
27032	266	229	37
27033	259	193	66
27034	349	318	31
27035	194	114	80
27036	253	207	46
27037	248	203	45
27038	397	305	92
27039	269	240	29
27040	169	111	58
27041	332	310	22
27042	110	97	13
27043	281	238	43
27044	311	284	27
27045	310	201	109
27047	254	224	30
27048	381	309	72
27049	258	238	20
27050	332	301	31
28001	328	306	22
28002	306	260	46
28003	280	249	31
28004	181	124	57
28005	189	166	23
28006	141	116	25
28007	347	324	23
28008	148	98	50
28009	311	283	28
28010	320	236	84
28011	486	361	125
28012	360	335	25
28013	330	306	24
28014	322	303	19
28015	113	97	16
28016	221	201	20
28017	297	271	26
28018	241	223	18
28019	221	154	67
28020	310	286	24
28021	269	247	22
28022	269	238	31
28023	386	356	30
28024	301	273	28
28025	425	391	34
28026	360	336	24
28027	238	156	82
28028	277	181	96
28029	154	143	11
28030	54	52	2
28031	435	403	32
28032	329	305	24
28033	374	342	32
28034	584	522	62
28035	395	370	25
28036	204	193	11
28037	457	418	39
28038	175	154	21
28039	267	243	24
28040	430	395	35
28041	248	227	21
28042	373	343	30
28043	462	435	27
28044	233	212	21
28045	186	132	54
28046	426	301	125
29001	309	217	92
29002	567	501	66
29003	448	415	33
29004	447	418	29
29005	337	301	36
29006	366	333	33
29007	325	268	57
29008	340	315	25
29009	1	1	0
29010	402	273	129
29011	234	206	28
29012	438	389	49
29013	427	390	37
29014	405	374	31
29015	437	385	52
29016	411	378	33
29017	378	337	41
29018	399	353	46
29019	413	374	39
29020	493	447	46
29021	520	471	49
29022	325	271	54
29024	354	315	39
29025	414	384	30
29026	387	346	41
29027	314	291	23
29028	485	445	40
29033	303	274	29
29034	213	173	40
29035	300	275	25
29036	326	292	34
29037	367	330	37
29040	452	412	40
29041	318	287	31
29042	441	414	27
29043	254	183	71
29044	496	459	37
36005	297	227	70
36021	78	52	26
37001	293	262	31
37002	205	171	34
37003	280	253	27
37004	288	251	37
37005	375	343	32
37006	358	324	34
37007	246	207	39
37008	255	217	38
37009	377	334	43
37010	366	307	59
37011	269	242	27
37012	271	223	48
37013	260	236	24
37014	348	316	32
37015	376	343	33
37016	352	307	45
37017	337	297	40
37018	357	323	34
37019	285	249	36
37020	300	272	28
37021	294	246	48
37022	301	255	46
37023	370	340	30
37024	362	326	36
37025	332	294	38
37026	390	336	54
37027	326	300	26
37028	267	226	41
37029	363	317	46
37030	359	327	32
37031	392	348	44
37032	314	281	33
37033	378	346	32
37034	357	330	27
37035	373	334	39
37036	345	321	24
37037	409	362	47
37038	416	371	45
37039	338	297	41
37040	400	371	29
37041	343	299	44
42001	244	175	69
42002	222	145	77
42003	287	179	108
42004	344	231	113
42005	161	113	48
42006	333	227	106
42007	270	166	104
42008	246	179	67
42009	289	179	110
42010	292	179	113
42011	159	120	39
42012	182	126	56
42013	276	194	82
42014	201	135	66
42015	141	93	48
42016	248	163	85
42017	246	162	84
42018	215	124	91
42019	245	167	78
42020	177	94	83
42021	197	121	76
42022	122	92	30
42023	181	117	64
42024	223	152	71
42025	221	144	77
42026	242	156	86
42027	228	159	69
42028	340	225	115
42029	215	141	74
42030	197	132	65
42031	254	167	87
42032	176	99	77
42033	305	173	132
42034	194	136	58
42035	341	212	129
42036	287	187	100
42037	139	99	40
42038	190	136	54
42039	196	130	66
42040	263	164	99
42041	224	157	67
42042	310	199	111
43001	154	113	41
43005	32	17	15
43009	28	22	6
43033	243	172	71
43035	246	181	65
43045	168	99	69
Berwyn Ward 6 Precinct 2	194	121	73
Berwyn Ward 6 Precinct 3	121	92	29
Berwyn Ward 6 Precinct 4	83	59	24
Berwyn Ward 7 Precinct 1	262	193	69
Berwyn Ward 7 Precinct 2	281	207	74
Berwyn Ward 7 Precinct 3	327	220	107
Berwyn Ward 7 Precinct 4	342	245	97
Berwyn Ward 8 Precinct 1	509	329	180
Berwyn Ward 8 Precinct 2	1	1	0
Oak Park 1	387	298	89
Oak Park 2	540	384	156
Oak Park 3	635	464	171
Oak Park 4	538	326	212
Oak Park 5	531	308	223
Oak Park 6	577	402	175
Oak Park 7	372	264	108
Oak Park 8	490	387	103
Oak Park 9	327	221	106
Oak Park 10	464	340	124
Oak Park 11	478	358	120
Oak Park 12	228	166	62
Oak Park 13	504	367	137
Oak Park 14	476	343	133
Oak Park 15	664	505	159
Oak Park 16	695	462	233
Oak Park 17	678	481	197
Oak Park 18	352	253	99
Oak Park 19	470	331	139
Oak Park 20	471	349	122
Oak Park 21	388	294	94
Oak Park 22	301	213	88
Oak Park 23	415	285	130
Oak Park 24	317	220	97
Oak Park 25	443	310	133
Oak Park 26	454	313	141
Oak Park 27	138	99	39
Oak Park 28	591	449	142
Oak Park 29	438	312	126
Oak Park 30	605	483	122
Oak Park 31	703	524	179
Oak Park 32	378	287	91
Oak Park 33	469	372	97
Oak Park 34	387	282	105
Oak Park 35	537	365	172
Oak Park 36	562	419	143
Oak Park 37	276	185	91
Proviso 1	324	255	69
Proviso 2	326	264	62
Proviso 3	198	170	28
Proviso 4	453	397	56
Proviso 5	420	390	30
Proviso 8	216	192	24
Proviso 9	371	328	43
Proviso 17	286	252	34
Proviso 18	561	507	54
Proviso 19	450	408	42
Proviso 20	391	354	37
Proviso 21	197	124	73
Proviso 22	338	293	45
Proviso 30	382	319	63
Proviso 31	276	248	28
Proviso 33	504	453	51
Proviso 34	708	640	68
Proviso 36	485	438	47
Proviso 37	318	289	29
Proviso 38	413	372	41
Proviso 39	415	346	69
Proviso 40	471	423	48
Proviso 41	369	338	31
Proviso 42	292	263	29
Proviso 43	306	280	26
Proviso 44	316	284	32
Proviso 45	432	390	42
Proviso 47	250	227	23
Proviso 48	480	420	60
Proviso 49	275	226	49
Proviso 50	543	440	103
Proviso 51	327	246	81
Proviso 52	350	314	36
Proviso 53	415	379	36
Proviso 56	317	289	28
Proviso 58	302	269	33
Proviso 59	274	227	47
Proviso 60	262	222	40
Proviso 61	382	289	93
Proviso 62	427	324	103
Proviso 63	7	6	1
Proviso 64	415	359	56
Proviso 65	324	263	61
Proviso 66	393	304	89
Proviso 67	506	365	141
Proviso 68	209	129	80
Proviso 69	373	336	37
Proviso 71	181	138	43
Proviso 72	336	248	88
Proviso 73	324	241	83
Proviso 74	341	261	80
Proviso 76	387	299	88
Proviso 79	351	323	28
Proviso 81	257	220	37
Proviso 82	609	570	39
Proviso 83	518	478	40
Proviso 85	130	96	34
Proviso 86	464	431	33
Proviso 91	313	260	53
Proviso 92	366	288	78
Proviso 94	380	348	32
Proviso 99	418	372	46
Proviso 101	232	168	64
Proviso 102	229	154	75
River Forest 2	239	170	69
River Forest 3	313	219	94
River Forest 4	356	251	105
River Forest 5	262	186	76
River Forest 6	206	137	69
River Forest 7	325	226	99
River Forest 8	461	287	174
Riverside 13	26	17	9
