Precinct	total_votes	votes|Robert Martwick
29029	275	275
29031	146	146
29032	344	344
38001	334	334
38003	386	386
38005	350	350
38006	363	363
38007	227	227
38009	377	377
38011	356	356
38013	347	347
38014	396	396
38015	357	357
38017	300	300
38018	373	373
38019	409	409
38021	321	321
38022	356	356
38024	402	402
38025	323	323
38026	367	367
38027	369	369
38029	357	357
38030	342	342
38031	405	405
38032	368	368
38033	357	357
38036	356	356
38038	351	351
38040	373	373
38041	378	378
39020	452	452
39021	361	361
39023	379	379
39024	415	415
39041	5	5
41003	163	163
41012	406	406
41024	333	333
41030	383	383
41038	353	353
45012	391	391
45013	355	355
45014	556	556
45015	521	521
45016	348	348
45017	460	460
45018	425	425
45019	220	220
45020	292	292
45021	334	334
45022	365	365
45023	364	364
45024	304	304
45025	242	242
45026	204	204
45027	363	363
45028	314	314
45029	255	255
45030	405	405
45031	315	315
45032	250	250
45033	264	264
45034	436	436
45035	392	392
45036	393	393
45037	376	376
45038	342	342
45039	372	372
45040	383	383
45041	348	348
45042	382	382
45043	369	369
45044	365	365
45045	243	243
45046	292	292
45047	279	279
45048	315	315
Leyden 37	345	345
Leyden 49	665	665
Norwood Park 1	524	524
Norwood Park 2	528	528
Norwood Park 4	546	546
Norwood Park 12	380	380
Norwood Park 15	361	361
Norwood Park 16	339	339
