Precinct	total_votes	votes|August (O'Neill) Deuser	votes|Bobby L. Rush
21044	464	11	453
21045	435	20	415
21046	534	11	523
21047	480	5	475
21048	446	16	430
21049	514	12	502
21050	393	14	379
21051	440	12	428
21052	487	8	479
21053	362	12	350
21054	416	12	404
34001	493	4	489
34002	294	4	290
34003	525	11	514
34005	440	6	434
34006	531	19	512
34007	514	9	505
34008	400	3	397
34009	436	15	421
34010	449	7	442
34011	430	5	425
34012	503	13	490
34013	504	6	498
34014	407	9	398
34015	470	11	459
34016	429	12	417
34017	597	11	586
34019	612	12	600
34020	517	8	509
34021	516	14	502
34022	113	1	112
34025	499	8	491
34026	512	6	506
34029	396	9	387
34030	145	4	141
34031	430	9	421
34032	466	8	458
34033	452	7	445
34034	502	9	493
34035	526	12	514
34040	538	8	530
34041	106	2	104
34042	436	3	433
34043	411	12	399
34044	456	7	449
34045	488	10	478
34046	303	3	300
34047	488	9	479
34048	482	8	474
34049	559	18	541
34050	428	9	419
34051	482	16	466
34052	339	10	329
Bremen 1	574	19	555
Bremen 2	645	358	287
Bremen 3	529	271	258
Bremen 4	578	266	312
Bremen 5	436	169	267
Bremen 6	446	166	280
Bremen 9	500	294	206
Bremen 10	731	432	299
Bremen 11	659	334	325
Bremen 12	496	45	451
Bremen 13	661	271	390
Bremen 14	491	152	339
Bremen 15	454	124	330
Bremen 16	593	338	255
Bremen 17	532	12	520
Bremen 18	888	432	456
Bremen 19	208	4	204
Bremen 20	454	250	204
Bremen 21	714	168	546
Bremen 22	493	287	206
Bremen 23	252	6	246
Bremen 24	494	328	166
Bremen 25	789	397	392
Bremen 27	661	282	379
Bremen 28	460	210	250
Bremen 30	638	361	277
Bremen 33	555	337	218
Bremen 34	821	520	301
Bremen 36	424	263	161
Bremen 37	398	52	346
Bremen 40	208	13	195
Bremen 41	379	180	199
Bremen 42	791	451	340
Bremen 43	493	134	359
Bremen 45	133	11	122
Bremen 46	574	352	222
Bremen 50	662	389	273
Bremen 52	530	268	262
Bremen 53	395	206	189
Bremen 54	477	284	193
Bremen 55	485	108	377
Bremen 57	648	403	245
Bremen 58	743	406	337
Bremen 59	539	283	256
Bremen 60	499	262	237
Bremen 61	582	309	273
Bremen 62	646	273	373
Bremen 64	671	376	295
Bremen 65	296	8	288
Bremen 67	808	491	317
Bremen 68	406	251	155
Bremen 69	586	248	338
Bremen 72	383	214	169
Bremen 73	634	294	340
Bremen 74	694	289	405
Bremen 76	489	284	205
Bremen 77	930	499	431
Bremen 79	639	394	245
Calumet 1	651	77	574
Calumet 2	621	133	488
Calumet 3	618	37	581
Calumet 5	500	21	479
Calumet 6	853	103	750
Calumet 7	690	111	579
Calumet 8	458	65	393
Calumet 9	479	14	465
Calumet 10	663	12	651
Calumet 11	871	23	848
Calumet 12	460	21	439
Orland 3	406	178	228
Orland 5	474	279	195
Orland 6	422	252	170
Orland 7	410	243	167
Orland 10	644	380	264
Orland 11	468	262	206
Orland 13	843	462	381
Orland 14	592	346	246
Orland 17	448	214	234
Orland 19	475	276	199
Orland 21	839	580	259
Orland 24	605	374	231
Orland 25	1,066	636	430
Orland 27	449	258	191
Orland 28	481	337	144
Orland 30	430	256	174
Orland 31	503	296	207
Orland 32	410	263	147
Orland 33	493	308	185
Orland 34	725	446	279
Orland 35	696	435	261
Orland 37	717	443	274
Orland 38	372	201	171
Orland 40	739	479	260
Orland 46	523	298	225
Orland 48	645	389	256
Orland 50	269	158	111
Orland 52	648	433	215
Orland 54	908	614	294
Orland 55	529	323	206
Orland 62	708	421	287
Orland 67	420	241	179
Orland 69	403	147	256
Orland 72	526	291	235
Orland 73	855	504	351
Palos 1	444	309	135
Palos 9	265	188	77
Palos 33	712	493	219
Rich 7	596	184	412
Rich 20	1,054	649	405
Thornton 31	233	38	195
Thornton 49	25	0	25
Thornton 97	344	78	266
Worth 7	655	450	205
Worth 8	730	232	498
Worth 9	332	146	186
Worth 10	747	291	456
Worth 12	431	199	232
Worth 13	716	329	387
Worth 14	612	174	438
Worth 15	476	170	306
Worth 16	860	470	390
Worth 17	722	195	527
Worth 18	524	392	132
Worth 19	657	259	398
Worth 20	454	135	319
Worth 23	702	426	276
Worth 24	387	82	305
Worth 29	528	126	402
Worth 31	805	296	509
Worth 32	430	235	195
Worth 34	617	177	440
Worth 37	501	108	393
Worth 38	644	215	429
Worth 39	625	320	305
Worth 42	578	261	317
Worth 43	449	11	438
Worth 45	511	259	252
Worth 50	718	377	341
Worth 52	412	236	176
Worth 54	690	251	439
Worth 55	396	156	240
Worth 57	686	331	355
Worth 59	801	152	649
Worth 64	917	606	311
Worth 65	941	643	298
Worth 68	493	111	382
Worth 69	738	238	500
Worth 72	721	317	404
Worth 73	395	167	228
Worth 79	450	297	153
Worth 80	726	192	534
Worth 81	292	183	109
Worth 87	563	297	266
Worth 88	391	166	225
Worth 89	837	558	279
Worth 95	664	462	202
Worth 96	768	252	516
Worth 97	513	115	398
