Precinct	total_votes	votes|Lou Lang
40004	126	126
40010	190	190
40029	32	32
40035	0	0
40039	40	40
50001	156	156
50002	130	130
50003	185	185
50004	222	222
50005	109	109
50006	253	253
50007	291	291
50008	7	7
50009	184	184
50010	177	177
50011	87	87
50012	87	87
50013	271	271
50014	61	61
50015	301	301
50016	62	62
50017	162	162
50018	28	28
50019	145	145
50020	250	250
50021	204	204
50022	140	140
50023	119	119
50025	105	105
50026	205	205
50027	57	57
50028	212	212
50029	176	176
50030	156	156
50031	265	265
50032	246	246
50033	118	118
50034	291	291
50035	311	311
50036	227	227
50037	259	259
50038	122	122
50039	124	124
50040	147	147
