Precinct	total_votes	votes|Joe Moore
49001	232	232
49002	210	210
49003	334	334
49004	391	391
49005	303	303
49006	282	282
49007	318	318
49008	260	260
49009	308	308
49010	292	292
49011	382	382
49012	435	435
49013	358	358
49014	251	251
49015	248	248
49016	332	332
49017	215	215
49018	392	392
49019	279	279
49020	453	453
49021	205	205
49022	325	325
49023	407	407
49024	273	273
49025	427	427
49026	338	338
49027	383	383
49028	421	421
49029	365	365
49030	318	318
49031	253	253
49032	341	341
49033	300	300
