Precinct	total_votes	votes|Daniel J. Burke
12020	2	2
14001	362	362
14002	509	509
14004	346	346
14005	577	577
14006	166	166
14007	488	488
14008	454	454
14009	427	427
14010	256	256
14012	415	415
14013	336	336
14014	415	415
14016	277	277
14017	341	341
14018	40	40
14019	416	416
14020	274	274
14021	367	367
14022	132	132
14023	220	220
14024	410	410
14025	257	257
14026	297	297
14027	395	395
14028	307	307
14029	352	352
14030	248	248
14031	238	238
15003	43	43
15004	358	358
15008	331	331
15009	48	48
15010	236	236
15011	281	281
15012	414	414
15016	400	400
15019	325	325
16001	425	425
16002	78	78
16007	322	322
16011	345	345
16013	368	368
16017	270	270
16023	366	366
16032	412	412
16035	392	392
17001	215	215
17007	374	374
17012	489	489
17014	408	408
17016	349	349
17030	106	106
22001	238	238
22002	433	433
22008	473	473
22012	328	328
22023	482	482
23003	308	308
23006	142	142
23012	22	22
23014	258	258
23017	173	173
23019	322	322
23020	16	16
23022	76	76
23024	201	201
23025	301	301
23026	154	154
23031	280	280
23037	110	110
Stickney 10	613	613
