Precinct	total_votes	votes|Daniel ''Danny'' Solis
25001	260	260
25002	280	280
25003	232	232
25004	248	248
25005	286	286
25006	66	66
25007	252	252
25008	302	302
25009	304	304
25010	221	221
25011	299	299
25012	242	242
25013	280	280
25014	153	153
25015	272	272
25016	184	184
25017	263	263
25018	146	146
25019	265	265
25020	220	220
25021	297	297
25022	268	268
25023	327	327
25024	272	272
25025	223	223
25026	300	300
25027	204	204
25028	309	309
25029	220	220
25030	276	276
25031	209	209
25032	242	242
