Precinct	total_votes	votes|Emil Jones Iii
09001	259	259
09002	395	395
09004	140	140
09005	386	386
09006	423	423
09009	107	107
09010	361	361
09013	105	105
09014	517	517
09017	387	387
09019	407	407
09020	420	420
09021	381	381
09022	451	451
09027	384	384
09029	425	425
09030	353	353
09031	280	280
09032	424	424
09034	392	392
09035	412	412
09038	128	128
09039	475	475
09040	451	451
09043	228	228
09044	64	64
19014	440	440
19020	370	370
19031	318	318
19040	409	409
19042	297	297
19043	622	622
19047	620	620
19048	567	567
19049	520	520
21002	113	113
21005	483	483
21006	380	380
21010	406	406
21011	393	393
21012	396	396
21017	352	352
21019	439	439
21020	146	146
21021	362	362
21022	278	278
21023	391	391
21024	432	432
21025	379	379
21027	409	409
21033	417	417
21034	325	325
21035	441	441
21036	340	340
21037	346	346
21038	435	435
21039	348	348
21040	380	380
21041	408	408
21042	320	320
21043	31	31
21044	228	228
21045	383	383
21046	459	459
21048	299	299
21049	463	463
21050	358	358
21052	52	52
34001	461	461
34002	342	342
34003	481	481
34004	372	372
34005	408	408
34006	496	496
34007	492	492
34008	363	363
34009	381	381
34010	429	429
34011	396	396
34012	464	464
34013	467	467
34014	368	368
34015	433	433
34016	396	396
34017	550	550
34018	346	346
34019	536	536
34020	486	486
34021	495	495
34022	416	416
34023	366	366
34024	421	421
34025	466	466
34026	484	484
34027	393	393
34028	332	332
34029	363	363
34030	388	388
34031	392	392
34032	433	433
34033	432	432
34034	470	470
34035	486	486
34036	390	390
34037	316	316
34038	255	255
34039	347	347
34040	495	495
34041	329	329
34042	413	413
34043	400	400
34044	420	420
34045	451	451
34046	288	288
34047	455	455
34048	457	457
34049	475	475
34050	406	406
34051	461	461
34052	327	327
34053	337	337
