Precinct	total_votes	votes|Victor Horne	votes|Frances Ann Hurley
19001	442	101	341
19002	614	70	544
19004	559	156	403
19006	510	170	340
19007	474	86	388
19008	566	172	394
19010	577	113	464
19011	519	136	383
19013	580	27	553
19015	662	210	452
19016	431	116	315
19017	459	103	356
19018	415	81	334
19019	602	122	480
19021	525	152	373
19022	513	98	415
19023	496	112	384
19024	18	2	16
19025	461	119	342
19026	519	140	379
19027	473	44	429
19028	555	44	511
19029	533	180	353
19030	430	146	284
19032	432	93	339
19033	378	117	261
19034	463	107	356
19035	443	90	353
19036	677	65	612
19037	467	38	429
19038	439	41	398
19039	221	18	203
19041	489	145	344
19044	566	169	397
19045	489	122	367
19046	502	134	368
19050	413	87	326
19051	547	103	444
19052	581	185	396
19053	461	88	373
19054	419	144	275
19056	139	30	109
19057	401	57	344
21001	448	10	438
21003	479	12	467
21008	491	21	470
21014	521	19	502
21016	422	14	408
21018	519	10	509
21022	123	3	120
21029	194	6	188
21032	445	10	435
21036	103	3	100
21042	157	9	148
21048	100	3	97
34049	58	7	51
Orland 1	865	401	464
Orland 2	791	419	372
Orland 3	406	137	269
Orland 4	474	246	228
Orland 7	409	184	225
Orland 8	546	227	319
Orland 9	761	353	408
Orland 10	645	315	330
Orland 12	318	148	170
Orland 16	660	393	267
Orland 18	792	395	397
Orland 20	346	210	136
Orland 22	605	276	329
Orland 25	1068	514	554
Orland 26	574	246	328
Orland 28	486	289	197
Orland 29	982	579	403
Orland 31	508	254	254
Orland 32	416	208	208
Orland 33	500	246	254
Orland 36	821	316	505
Orland 37	725	343	382
Orland 38	374	168	206
Orland 40	738	388	350
Orland 46	443	208	235
Orland 48	646	310	336
Orland 53	539	256	283
Orland 54	918	515	403
Orland 55	533	261	272
Orland 56	570	381	189
Orland 64	875	537	338
Orland 69	404	121	283
Palos 1	170	100	70
Palos 8	278	151	127
Palos 11	23	15	8
Palos 13	274	151	123
Palos 16	822	461	361
Palos 24	328	201	127
Palos 29	651	380	271
Palos 30	598	276	322
Worth 9	741	206	535
Worth 15	898	245	653
Worth 16	559	228	331
Worth 22	492	176	316
Worth 51	479	213	266
Worth 67	433	206	227
Worth 73	402	109	293
Worth 81	473	211	262
Worth 87	564	202	362
Worth 98	144	46	98
