Precinct	total_votes	votes|Merry Marwig
38002	154	154
38007	18	18
38012	152	152
38017	49	49
38020	181	181
38024	2	2
38028	218	218
41001	185	185
41002	212	212
41003	55	55
41004	215	215
41005	244	244
41007	218	218
41008	170	170
41010	235	235
41011	213	213
41013	198	198
41015	245	245
41016	182	182
41017	184	184
41018	178	178
41020	160	160
41021	200	200
41022	208	208
41023	163	163
41025	134	134
41026	198	198
41027	150	150
41028	6	6
41031	208	208
41033	186	186
41034	167	167
41035	224	224
41036	203	203
41037	222	222
41040	189	189
41041	178	178
41042	167	167
41043	199	199
41044	200	200
41045	178	178
41046	218	218
