Precinct	total_votes	votes|Brendan Reilly
42001	203	203
42002	181	181
42003	242	242
42004	297	297
42005	154	154
42006	282	282
42007	215	215
42008	198	198
42009	221	221
42010	229	229
42011	127	127
42012	135	135
42013	226	226
42014	175	175
42015	108	108
42016	194	194
42017	200	200
42018	167	167
42019	202	202
42020	138	138
42021	152	152
42022	106	106
42023	157	157
42024	191	191
42025	176	176
42026	208	208
42027	189	189
42028	270	270
42029	177	177
42030	178	178
42031	223	223
42032	146	146
42033	245	245
42034	158	158
42035	311	311
42036	251	251
42037	126	126
42038	167	167
42039	166	166
42040	222	222
42041	200	200
42042	245	245
