Precinct	total_votes	votes|Omar Aquino
01001	495	495
01002	329	329
01003	590	590
01004	560	560
01005	548	548
01006	478	478
01008	34	34
01010	642	642
01011	433	433
01014	528	528
01015	456	456
01017	304	304
01018	523	523
01020	413	413
01021	550	550
01022	326	326
01024	435	435
01025	470	470
01026	342	342
01027	516	516
01029	492	492
01030	563	563
01031	490	490
01032	389	389
01033	514	514
01035	618	618
01036	530	530
01037	353	353
01038	490	490
01039	426	426
01040	477	477
01044	443	443
02001	183	183
02003	595	595
02004	456	456
02005	605	605
02014	544	544
02015	59	59
02016	479	479
02017	84	84
02021	515	515
26001	373	373
26002	310	310
26003	414	414
26004	186	186
26005	328	328
26006	281	281
26008	194	194
26009	295	295
26010	335	335
26011	329	329
26012	370	370
26013	198	198
26014	278	278
26015	205	205
26016	218	218
26018	280	280
26019	162	162
26020	302	302
26021	449	449
26022	215	215
26023	219	219
26024	333	333
26025	311	311
26026	240	240
26027	361	361
26028	76	76
26029	202	202
26030	275	275
26031	169	169
26032	411	411
26033	336	336
26034	22	22
26035	308	308
26036	358	358
26037	355	355
26038	195	195
26039	378	378
26040	242	242
26041	402	402
26042	267	267
26043	225	225
26044	194	194
26045	186	186
26047	256	256
26048	353	353
26049	200	200
27005	3	3
27007	603	603
27013	117	117
27024	31	31
27027	21	21
27040	75	75
27043	9	9
29015	13	13
29023	103	103
29024	27	27
29029	96	96
29030	254	254
29031	214	214
29036	305	305
29038	393	393
29039	352	352
30002	400	400
30005	318	318
30006	318	318
30009	100	100
30010	435	435
30011	379	379
30012	386	386
30013	353	353
30014	272	272
30016	186	186
30019	293	293
30021	291	291
30029	266	266
30030	189	189
31003	271	271
31004	389	389
31014	52	52
31015	234	234
31016	359	359
31019	237	237
31021	90	90
31022	278	278
31025	278	278
31031	265	265
31039	314	314
35002	402	402
35003	453	453
35007	463	463
35008	480	480
35012	324	324
35013	332	332
35014	368	368
35016	307	307
35018	357	357
35019	287	287
35021	415	415
36001	433	433
36002	412	412
36003	374	374
36004	428	428
36005	390	390
36006	344	344
36007	397	397
36008	348	348
36009	348	348
36010	433	433
36011	323	323
36012	278	278
36013	286	286
36015	419	419
36018	62	62
36019	476	476
36021	344	344
36022	362	362
36023	360	360
36024	391	391
36025	404	404
36026	328	328
36027	347	347
36028	345	345
36029	397	397
36030	404	404
37012	201	201
37022	210	210
37026	51	51
38004	350	350
38008	338	338
38010	350	350
38016	364	364
38021	5	5
38037	387	387
38039	290	290
Leyden 28	252	252
Leyden 34	139	139
