Precinct	total_votes	votes|Heather A. Steans
33018	208	208
39013	24	24
39022	363	363
39030	169	169
40001	430	430
40002	436	436
40003	601	601
40004	41	41
40005	489	489
40006	592	592
40007	492	492
40008	628	628
40009	403	403
40010	118	118
40011	506	506
40012	387	387
40013	771	771
40014	395	395
40015	419	419
40016	636	636
40017	382	382
40018	440	440
40019	563	563
40020	466	466
40021	565	565
40022	497	497
40023	566	566
40024	415	415
40025	620	620
40026	514	514
40027	654	654
40028	565	565
40029	407	407
40030	369	369
40031	573	573
40032	547	547
40033	497	497
40034	413	413
40035	354	354
40036	448	448
40037	499	499
40038	606	606
40039	63	63
46001	405	405
46002	479	479
46004	509	509
46006	495	495
46008	391	391
46012	604	604
46014	579	579
46016	620	620
46020	456	456
46021	379	379
46022	423	423
46023	416	416
46025	539	539
46026	294	294
46029	52	52
46032	524	524
46037	373	373
46040	466	466
47005	456	456
47010	709	709
47015	676	676
47019	725	725
47020	505	505
47022	612	612
47023	600	600
47026	756	756
47028	464	464
47030	697	697
47031	555	555
47032	666	666
47034	575	575
47036	640	640
47037	588	588
47038	572	572
47039	9	9
47041	572	572
47042	547	547
47045	524	524
48001	504	504
48002	255	255
48003	669	669
48004	536	536
48005	278	278
48006	674	674
48007	559	559
48008	273	273
48009	360	360
48010	744	744
48011	436	436
48012	625	625
48013	643	643
48014	270	270
48015	373	373
48016	559	559
48017	487	487
48018	357	357
48019	369	369
48020	602	602
48021	680	680
48022	420	420
48023	556	556
48024	592	592
48025	478	478
48026	290	290
48027	1043	1043
48028	597	597
48029	233	233
48030	472	472
48031	784	784
48032	574	574
48033	288	288
48034	477	477
48035	322	322
48036	304	304
48037	561	561
48038	528	528
48039	406	406
48040	469	469
48041	686	686
48042	661	661
48043	555	555
48044	666	666
48045	427	427
48046	339	339
49001	396	396
49002	362	362
49003	605	605
49004	666	666
49005	537	537
49006	542	542
49007	593	593
49008	442	442
49009	581	581
49010	538	538
49011	656	656
49012	790	790
49013	641	641
49014	441	441
49015	453	453
49016	499	499
49017	343	343
49018	711	711
49019	527	527
49020	821	821
49021	332	332
49022	552	552
49023	668	668
49024	488	488
49025	757	757
49026	591	591
49027	676	676
49028	718	718
49029	640	640
49030	610	610
49031	454	454
49032	584	584
49033	497	497
50008	354	354
50028	2	2
