Precinct	total_votes	votes|Monique D. Davis
09002	71	71
09010	367	367
09017	65	65
09020	420	420
09021	385	385
09027	392	392
09030	364	364
19014	415	415
19020	363	363
19031	299	299
19040	391	391
19042	286	286
19043	610	610
19047	603	603
19048	565	565
19049	517	517
21002	120	120
21005	481	481
21006	390	390
21010	419	419
21011	404	404
21012	413	413
21017	363	363
21019	461	461
21020	154	154
21021	372	372
21022	299	299
21023	384	384
21024	439	439
21025	385	385
21027	422	422
21033	430	430
21034	342	342
21035	445	445
21036	351	351
21037	363	363
21038	455	455
21039	367	367
21040	395	395
21041	405	405
21042	324	324
21043	28	28
21044	233	233
21045	395	395
21046	473	473
21048	304	304
21049	483	483
21050	368	368
21052	48	48
34001	458	458
34002	163	163
34005	405	405
34007	480	480
34008	360	360
34010	433	433
34012	458	458
34013	449	449
34015	239	239
34017	546	546
34019	540	540
34020	162	162
34021	491	491
34025	472	472
34029	353	353
34031	53	53
34032	423	423
34034	475	475
34035	481	481
34040	483	483
34043	383	383
34044	431	431
34045	447	447
34046	278	278
34047	451	451
34048	450	450
34049	475	475
34051	230	230
34052	317	317
Bremen 64	48	48
Bremen 68	239	239
Calumet 2	372	372
Calumet 6	296	296
Orland 21	507	507
Orland 35	419	419
Palos 1	149	149
Palos 3	315	315
Palos 9	236	236
Palos 15	357	357
Palos 24	50	50
Palos 33	366	366
Worth 7	379	379
Worth 8	584	584
Worth 9	1	1
Worth 12	319	319
Worth 14	495	495
Worth 16	224	224
Worth 17	585	585
Worth 18	280	280
Worth 19	479	479
Worth 20	348	348
Worth 23	437	437
Worth 34	500	500
Worth 42	401	401
Worth 43	231	231
Worth 50	466	466
Worth 55	305	305
Worth 59	689	689
Worth 64	518	518
Worth 65	525	525
Worth 68	413	413
Worth 79	274	274
Worth 88	297	297
Worth 89	471	471
Worth 95	348	348
Worth 97	421	421
