Precinct	total_votes	votes|Nicholas Sposato
38001	170	170
38002	201	201
38003	220	220
38004	213	213
38005	185	185
38006	206	206
38007	208	208
38008	193	193
38009	241	241
38010	219	219
38011	194	194
38012	181	181
38013	206	206
38014	220	220
38015	197	197
38016	213	213
38017	246	246
38018	186	186
38019	197	197
38020	204	204
38021	183	183
38022	208	208
38023	232	232
38024	219	219
38025	178	178
38026	192	192
38027	209	209
38028	241	241
38029	258	258
38030	192	192
38031	199	199
38032	191	191
38033	191	191
38034	192	192
38035	231	231
38036	196	196
38037	214	214
38038	184	184
38039	253	253
38040	213	213
38041	221	221
