Precinct	total_votes	votes|Heather A. Steans
33018	127	127
39013	24	24
39022	177	177
39030	86	86
40001	213	213
40002	238	238
40003	363	363
40004	30	30
40005	296	296
40006	348	348
40007	325	325
40008	410	410
40009	204	204
40010	69	69
40011	282	282
40012	211	211
40013	475	475
40014	231	231
40015	244	244
40016	380	380
40017	237	237
40018	234	234
40019	338	338
40020	258	258
40021	346	346
40022	306	306
40023	383	383
40024	197	197
40025	388	388
40026	330	330
40027	424	424
40028	367	367
40029	204	204
40030	235	235
40031	353	353
40032	331	331
40033	314	314
40034	217	217
40035	197	197
40036	263	263
40037	300	300
40038	384	384
40039	38	38
46001	230	230
46002	289	289
46004	305	305
46006	264	264
46008	226	226
46012	337	337
46014	289	289
46016	355	355
46020	265	265
46021	210	210
46022	216	216
46023	269	269
46025	292	292
46026	170	170
46029	167	167
46032	300	300
46037	181	181
46040	280	280
47005	256	256
47010	432	432
47015	448	448
47019	450	450
47020	315	315
47022	364	364
47023	417	417
47026	423	423
47028	323	323
47030	391	391
47031	323	323
47032	403	403
47034	380	380
47036	405	405
47037	338	338
47038	319	319
47039	3	3
47041	313	313
47042	326	326
47045	344	344
48001	293	293
48002	162	162
48003	412	412
48004	321	321
48005	178	178
48006	393	393
48007	344	344
48008	151	151
48009	201	201
48010	479	479
48011	296	296
48012	404	404
48013	388	388
48014	167	167
48015	207	207
48016	293	293
48017	316	316
48018	251	251
48019	241	241
48020	402	402
48021	365	365
48022	282	282
48023	331	331
48024	301	301
48025	335	335
48026	160	160
48027	432	432
48028	323	323
48029	169	169
48030	321	321
48031	443	443
48032	360	360
48033	190	190
48034	291	291
48035	221	221
48036	204	204
48037	339	339
48038	369	369
48039	248	248
48040	326	326
48041	413	413
48042	427	427
48043	358	358
48044	426	426
48045	301	301
48046	227	227
49001	247	247
49002	232	232
49003	369	369
49004	441	441
49005	335	335
49006	318	318
49007	364	364
49008	251	251
49009	352	352
49010	338	338
49011	407	407
49012	475	475
49013	402	402
49014	285	285
49015	255	255
49016	342	342
49017	230	230
49018	453	453
49019	298	298
49020	527	527
49021	209	209
49022	351	351
49023	450	450
49024	276	276
49025	494	494
49026	378	378
49027	403	403
49028	445	445
49029	441	441
49030	365	365
49031	269	269
49032	353	353
49033	311	311
50008	212	212
50028	12	12
Evanston Ward 8 Precinct 3	295	295
Evanston Ward 8 Precinct 5	450	450
