Precinct	total_votes	votes|Yes	votes|No
08050	445	407	38
08051	490	448	42
08052	579	545	34
08053	255	237	18
08054	432	393	39
08055	352	328	24
08056	482	440	42
09001	445	405	40
09002	416	373	43
09003	455	410	45
09004	363	331	32
09005	396	360	36
09006	438	395	43
09007	334	310	24
09008	517	458	59
09009	494	457	37
09010	328	289	39
09011	358	329	29
09012	523	489	34
09013	464	434	30
09014	524	490	34
09015	562	511	51
09016	406	381	25
09017	405	372	33
09018	329	295	34
09019	439	401	38
09020	446	407	39
09021	403	374	29
09022	471	440	31
09023	486	457	29
09024	423	396	27
09025	453	425	28
09026	646	581	65
09027	407	378	29
09028	344	311	33
09029	427	402	25
09030	388	365	23
09031	370	329	41
09032	440	402	38
09033	402	370	32
09034	400	361	39
09035	428	400	28
09036	416	385	31
09037	554	493	61
09038	465	424	41
09039	483	441	42
09040	465	439	26
09041	357	332	25
09042	445	419	26
09043	457	415	42
09044	381	345	36
09045	413	383	30
09046	481	442	39
09047	472	448	24
09048	468	424	44
09049	458	420	38
09050	560	519	41
09051	414	375	39
10001	435	385	50
10002	415	362	53
10003	422	376	46
10004	409	364	45
10005	358	312	46
10006	369	349	20
10007	350	329	21
10008	347	308	39
10009	426	376	50
10010	473	437	36
10011	540	496	44
10012	324	295	29
10013	439	403	36
10014	573	531	42
10015	847	779	68
10016	359	305	54
10017	576	511	65
10018	317	287	30
10019	483	430	53
10020	474	424	50
10021	463	419	44
10022	289	262	27
10023	414	385	29
10024	458	395	63
10025	142	127	15
10026	366	331	35
10027	476	428	48
10028	504	451	53
10029	436	386	50
10030	426	393	33
10031	363	337	26
10032	435	408	27
10033	311	280	31
10034	337	317	20
10035	468	420	48
10036	100	96	4
11001	523	482	41
11002	73	64	9
11003	476	443	33
11004	452	418	34
11005	680	622	58
11006	770	733	37
11007	893	831	62
11008	483	453	30
11009	445	412	33
11010	472	446	26
11011	564	524	40
11012	665	601	64
11013	618	553	65
11014	275	255	20
11015	189	180	9
11016	321	298	23
11017	600	553	47
11018	402	364	38
11019	649	593	56
11020	358	337	21
11021	632	569	63
11022	628	585	43
11023	302	274	28
11024	566	517	49
11025	592	548	44
11026	592	544	48
11027	197	186	11
11028	247	222	25
11029	582	527	55
11030	273	245	28
11031	506	464	42
11032	252	221	31
11033	581	541	40
11034	165	145	20
11035	111	99	12
11036	230	205	25
11037	161	153	8
11038	264	239	25
12001	483	438	45
12002	260	241	19
12003	576	532	44
12004	460	415	45
12005	417	384	33
12006	467	423	44
12007	473	436	37
12008	500	463	37
12009	396	360	36
12010	517	478	39
12011	478	441	37
12012	494	456	38
12013	493	451	42
12014	416	381	35
12015	412	372	40
12016	448	397	51
12017	511	469	42
12018	418	375	43
12019	453	417	36
12020	590	530	60
12021	496	456	40
12022	419	377	42
12023	488	451	37
13001	347	320	27
13002	349	314	35
13003	328	304	24
13004	426	367	59
13005	479	451	28
13006	384	354	30
13007	308	284	24
13008	330	299	31
13009	426	387	39
13010	357	320	37
13011	429	391	38
13012	367	341	26
13013	385	364	21
13014	411	386	25
13015	594	553	41
13016	298	282	16
13017	385	344	41
13018	340	301	39
13019	453	420	33
13020	266	241	25
13021	458	412	46
13022	429	396	33
13023	358	336	22
13024	383	353	30
13025	416	371	45
13026	418	363	55
13027	376	337	39
13028	328	300	28
13029	344	320	24
13030	323	301	22
13031	423	380	43
13032	346	325	21
13033	364	309	55
13034	446	419	27
13035	360	334	26
13036	260	242	18
13037	443	406	37
13038	347	310	37
13039	404	374	30
13040	322	296	26
13041	468	430	38
13042	391	357	34
13043	417	372	45
13044	425	392	33
13045	445	399	46
13046	505	474	31
13047	477	441	36
13048	352	300	52
14001	490	445	45
14002	575	532	43
14003	502	456	46
14004	437	384	53
14005	615	578	37
14006	221	205	16
14007	547	507	40
14008	514	469	45
14009	512	465	47
14010	311	290	21
14011	263	246	17
14012	475	443	32
14013	372	340	32
14014	446	418	28
14015	507	472	35
14016	330	301	29
14017	379	346	33
14018	185	166	19
14019	449	422	27
14020	312	294	18
14021	430	397	33
14022	574	524	50
14023	353	317	36
14024	513	461	52
14025	293	269	24
14026	328	296	32
14027	437	403	34
14028	351	333	18
14029	375	335	40
14030	270	253	17
14031	270	253	17
15001	421	386	35
15002	305	280	25
15003	321	296	25
15004	443	406	37
15005	409	354	55
15006	496	454	42
15007	306	276	30
15008	394	365	29
15009	559	511	48
15010	612	562	50
15011	556	513	43
15012	529	500	29
15013	419	381	38
15014	412	376	36
15015	398	362	36
15016	474	430	44
15017	336	295	41
15018	324	288	36
15019	397	371	26
15020	252	235	17
15021	321	290	31
15022	374	336	38
15023	381	352	29
15024	346	299	47
16001	493	454	39
16002	412	366	46
16003	327	286	41
16004	381	339	42
16005	211	189	22
16006	355	320	35
16007	374	337	37
16008	298	269	29
16009	428	383	45
16010	326	301	25
16011	401	354	47
16012	290	248	42
16013	451	408	43
16014	355	310	45
16015	420	377	43
16016	358	324	34
16017	441	410	31
16018	375	344	31
16019	386	355	31
16020	338	309	29
16021	325	293	32
16022	380	352	28
16023	443	405	38
16024	228	203	25
16025	416	365	51
16026	332	295	37
16027	338	289	49
16028	359	324	35
16029	355	317	38
16030	346	300	46
16031	402	369	33
16032	460	428	32
16033	273	241	32
16034	340	312	28
16035	477	441	36
16036	202	187	15
17001	422	389	33
17002	425	398	27
17003	488	433	55
17004	561	524	37
17005	339	303	36
17006	433	393	40
17007	390	349	41
17008	412	375	37
17009	353	321	32
17010	560	510	50
17011	354	313	41
17012	583	546	37
17013	371	337	34
17014	466	431	35
17015	518	472	46
17016	454	418	36
17017	426	386	40
17018	448	418	30
17019	302	261	41
17020	514	468	46
17021	459	427	32
17022	402	378	24
17023	287	261	26
17024	467	440	27
17025	355	328	27
17026	430	391	39
17027	437	406	31
17028	341	303	38
17029	415	380	35
17030	401	376	25
17031	310	279	31
17032	395	353	42
17033	307	275	32
17034	344	310	34
17035	345	313	32
17036	435	396	39
17037	377	341	36
17038	468	428	40
17039	399	371	28
17040	432	386	46
17041	511	470	41
18001	407	379	28
18002	447	405	42
18003	397	355	42
18004	462	437	25
18005	327	293	34
18006	410	369	41
18007	483	435	48
18008	444	404	40
18009	424	396	28
18010	550	513	37
18011	390	365	25
18012	423	390	33
18013	480	434	46
18014	446	414	32
18015	525	470	55
18016	416	382	34
18017	454	412	42
18018	358	329	29
18019	440	398	42
18020	363	333	30
18021	537	493	44
18022	466	438	28
18023	414	375	39
18024	437	412	25
18025	470	424	46
18026	511	469	42
18027	375	348	27
18028	443	402	41
18029	480	450	30
18030	510	461	49
18031	437	397	40
18032	456	415	41
18033	329	306	23
18034	502	464	38
18035	472	445	27
18036	478	436	42
18037	493	456	37
18038	386	356	30
18039	396	374	22
18040	519	483	36
18041	511	476	35
18042	422	397	25
18043	310	282	28
18044	376	345	31
18045	440	416	24
18046	494	452	42
18047	386	358	28
18048	360	331	29
18049	307	282	25
18050	387	355	32
19001	447	399	48
19002	627	590	37
19003	382	331	51
19004	566	482	84
19005	521	481	40
19006	506	441	65
19007	458	416	42
19008	565	473	92
19009	383	342	41
19010	582	526	56
