Precinct	total_votes	votes|Scott Waguespack
32001	267	267
32002	213	213
32003	367	367
32004	257	257
32005	218	218
32006	229	229
32007	223	223
32008	254	254
32009	248	248
32010	198	198
32011	318	318
32012	248	248
32013	204	204
32014	314	314
32015	219	219
32016	247	247
32017	320	320
32018	191	191
32019	233	233
32020	310	310
32021	264	264
32022	397	397
32023	223	223
32024	141	141
32025	216	216
32026	327	327
32027	174	174
32028	313	313
32029	312	312
32030	160	160
32031	245	245
32032	246	246
32033	201	201
32034	249	249
32035	215	215
32036	248	248
32037	209	209
32038	205	205
32039	177	177
32040	261	261
32041	241	241
32042	225	225
32043	296	296
