Precinct	total_votes	votes|La Shawn K. Ford
28001	344	344
28012	426	426
28014	377	377
28031	515	515
28039	326	326
28041	318	318
28042	306	306
28043	536	536
29002	663	663
29003	525	525
29006	405	405
29008	459	459
29011	293	293
29014	451	451
29016	526	526
29018	473	473
29019	517	517
29020	588	588
29021	616	616
29022	367	367
29028	587	587
29034	280	280
29042	513	513
37001	342	342
37005	434	434
37006	440	440
37009	485	485
37010	494	494
37011	355	355
37014	454	454
37015	462	462
37016	469	469
37017	402	402
37020	359	359
37022	160	160
37023	421	421
37024	454	454
37025	418	418
37026	452	452
37027	459	459
37029	178	178
37030	240	240
37031	451	451
37032	386	386
37033	507	507
37034	435	435
37036	457	457
37038	474	474
37039	423	423
37040	462	462
37041	403	403
