Precinct	total_votes	votes|Jacqueline ''Jacqui'' Collins
06004	147	147
06005	117	117
06006	235	235
06007	175	175
06009	160	160
06010	113	113
06011	178	178
06012	141	141
06015	35	35
06017	121	121
06018	150	150
06019	120	120
06020	111	111
06021	95	95
06022	114	114
06023	85	85
06024	100	100
06025	81	81
06026	114	114
06027	105	105
06028	39	39
06030	147	147
06032	188	188
06033	184	184
06040	174	174
06047	153	153
06048	185	185
08026	0	0
15007	33	33
15022	103	103
16006	86	86
16016	119	119
16024	77	77
16029	91	91
16030	44	44
16033	48	48
17001	55	55
17002	154	154
17003	150	150
17004	190	190
17005	106	106
17008	31	31
17009	130	130
17010	224	224
17011	119	119
17013	112	112
17015	180	180
17017	137	137
17018	199	199
17019	100	100
17020	237	237
17021	49	49
17022	132	132
17023	108	108
17024	190	190
17026	184	184
17027	178	178
17028	130	130
17029	121	121
17030	82	82
17031	105	105
17032	126	126
17033	78	78
17034	95	95
17035	85	85
17036	150	150
17037	165	165
17038	170	170
17039	178	178
17040	213	213
17041	235	235
18001	171	171
18002	163	163
18003	136	136
18004	239	239
18005	118	118
18006	173	173
18007	165	165
18008	218	218
18009	84	84
18010	309	309
18011	165	165
18012	164	164
18013	219	219
18014	220	220
18015	11	11
18016	191	191
18017	198	198
18018	178	178
18019	166	166
18020	149	149
18021	255	255
18022	251	251
18023	191	191
18024	142	142
18025	162	162
18026	208	208
18027	176	176
18028	163	163
18029	224	224
18030	202	202
18031	217	217
18032	11	11
18033	153	153
18035	242	242
18036	187	187
18037	260	260
18038	194	194
18039	136	136
18040	207	207
18041	252	252
18042	160	160
18043	10	10
18044	155	155
18045	161	161
18046	42	42
18047	143	143
18048	134	134
18049	105	105
18050	57	57
20008	44	44
20028	103	103
21002	26	26
21004	168	168
21013	15	15
21015	146	146
21017	30	30
21020	86	86
21026	147	147
21028	229	229
21030	144	144
21034	86	86
21043	141	141
21044	46	46
21047	167	167
21051	208	208
21052	149	149
21053	102	102
21054	160	160
Lyons 5	238	238
Lyons 13	111	111
Lyons 23	196	196
Lyons 25	88	88
Lyons 28	75	75
Lyons 38	80	80
Lyons 49	121	121
Lyons 52	232	232
Lyons 53	171	171
Lyons 54	45	45
Lyons 61	231	231
Lyons 70	159	159
Lyons 73	214	214
Lyons 74	94	94
Lyons 76	108	108
Lyons 77	112	112
Lyons 78	108	108
Palos 4	111	111
Palos 5	136	136
Palos 6	82	82
Palos 17	205	205
Palos 18	172	172
Palos 19	216	216
Palos 20	180	180
Palos 23	123	123
Palos 25	232	232
Palos 27	185	185
Palos 28	152	152
Palos 31	175	175
Palos 38	128	128
Stickney 5	264	264
Stickney 9	100	100
Stickney 11	217	217
Stickney 12	112	112
Stickney 14	231	231
Stickney 15	244	244
Worth 1	119	119
Worth 2	194	194
Worth 21	251	251
Worth 25	73	73
Worth 26	139	139
Worth 30	198	198
Worth 33	20	20
Worth 40	21	21
Worth 44	97	97
Worth 47	105	105
Worth 53	169	169
Worth 58	108	108
Worth 66	154	154
Worth 74	91	91
Worth 76	111	111
Worth 82	162	162
Worth 83	56	56
Worth 86	196	196
Worth 94	219	219
Worth 99	119	119
