Precinct	total_votes	votes|Martin J. Moylan
41028	142	142
41029	98	98
41042	0	0
Elk Grove 3	200	200
Elk Grove 4	171	171
Elk Grove 9	170	170
Elk Grove 12	109	109
Elk Grove 13	172	172
Elk Grove 15	123	123
Elk Grove 17	139	139
Elk Grove 18	261	261
Elk Grove 20	161	161
Elk Grove 24	131	131
Elk Grove 29	179	179
Elk Grove 31	80	80
Elk Grove 32	87	87
Elk Grove 33	122	122
Elk Grove 36	90	90
Elk Grove 37	100	100
Elk Grove 38	99	99
Elk Grove 40	146	146
Elk Grove 42	146	146
Elk Grove 43	168	168
Elk Grove 45	117	117
Elk Grove 47	231	231
Elk Grove 49	146	146
Elk Grove 51	219	219
Leyden 23	285	285
Maine 3	87	87
Maine 6	294	294
Maine 7	103	103
Maine 8	130	130
Maine 9	303	303
Maine 10	158	158
Maine 11	112	112
Maine 12	128	128
Maine 13	170	170
Maine 14	257	257
Maine 16	144	144
Maine 17	195	195
Maine 18	171	171
Maine 20	121	121
Maine 21	249	249
Maine 22	248	248
Maine 24	272	272
Maine 25	248	248
Maine 26	192	192
Maine 34	227	227
Maine 35	226	226
Maine 36	186	186
Maine 37	154	154
Maine 38	123	123
Maine 42	315	315
Maine 47	175	175
Maine 48	244	244
Maine 50	154	154
Maine 53	147	147
Maine 54	210	210
Maine 56	156	156
Maine 61	90	90
Maine 65	117	117
Maine 67	215	215
Maine 68	133	133
Maine 79	109	109
Maine 80	145	145
Maine 86	138	138
Maine 87	132	132
Norwood Park 3	209	209
Norwood Park 11	261	261
Norwood Park 14	158	158
