Precinct	total_votes	votes|Edgar Gonzalez, Jr.
12002	371	371
12006	480	480
12007	411	411
12010	461	461
12011	467	467
12012	420	420
12013	93	93
12014	402	402
12015	397	397
12016	386	386
12017	303	303
12018	394	394
12020	524	524
12022	433	433
14001	17	17
15006	423	423
15009	56	56
15010	297	297
15011	227	227
15012	54	54
22004	142	142
22005	8	8
22007	65	65
22010	556	556
22013	236	236
22014	328	328
22015	274	274
22016	317	317
22017	96	96
22018	185	185
22019	4	4
22022	403	403
23001	104	104
23012	322	322
23016	322	322
23021	285	285
23027	294	294
23036	321	321
23037	217	217
24016	913	913
Berwyn Ward 1 Precinct 2	10	10
Cicero 5	13	13
Cicero 6	562	562
Cicero 13	339	339
Cicero 20	387	387
Lyons 1	56	56
Lyons 3	469	469
Lyons 19	546	546
Lyons 22	376	376
Lyons 30	67	67
Lyons 32	210	210
Lyons 37	402	402
Lyons 56	820	820
Lyons 57	665	665
Lyons 59	505	505
Lyons 60	881	881
Lyons 64	518	518
Lyons 66	360	360
Riverside 2	54	54
Riverside 3	392	392
Riverside 4	765	765
Stickney 1	271	271
Stickney 2	427	427
Stickney 16	662	662
Stickney 17	138	138
Stickney 19	500	500
