Precinct	total_votes	votes|Robert Martwick	votes|Daniel ''Danny'' O'Toole
29029	154	103	51
29031	60	27	33
29032	162	106	56
38001	178	120	58
38002	199	77	122
38003	170	102	68
38005	180	102	78
38006	163	96	67
38007	175	84	91
38009	207	117	90
38011	180	122	58
38012	190	96	94
38013	226	160	66
38014	210	123	87
38015	200	123	77
38017	235	114	121
38018	225	142	83
38019	231	141	90
38020	199	79	120
38021	159	98	61
38022	214	166	48
38024	226	122	104
38025	191	112	79
38026	185	118	67
38027	191	99	92
38028	231	84	147
38029	208	122	86
38030	184	112	72
38031	271	170	101
38032	200	140	60
38033	185	106	79
38036	192	132	60
38038	190	116	74
38040	232	140	92
38041	254	186	68
39020	299	157	142
39021	217	101	116
39023	267	149	118
39024	265	139	126
39041	0	0	0
41001	225	77	148
41002	233	90	143
41003	224	106	118
41004	264	119	145
41005	279	141	138
41007	254	105	149
41008	251	114	137
41010	321	120	201
41011	275	94	181
41012	202	93	109
41013	248	96	152
41015	303	129	174
41016	233	85	148
41017	239	97	142
41018	226	94	132
41020	175	76	99
41021	240	103	137
41022	302	127	175
41023	219	62	157
41024	197	115	82
41025	120	75	45
41026	249	91	158
41027	127	73	54
41030	218	109	109
41031	248	123	125
41033	228	84	144
41034	228	94	134
41035	311	125	186
41036	234	94	140
41037	270	128	142
41038	218	99	119
41040	243	91	152
41041	223	74	149
41042	230	95	135
41043	227	93	134
41044	262	87	175
41045	239	98	141
41046	310	107	203
45012	211	139	72
45013	255	171	84
45014	353	232	121
45015	368	261	107
45016	206	150	56
45017	269	178	91
45018	239	157	82
45019	124	85	39
45020	156	105	51
45021	204	108	96
45022	165	97	68
45023	189	101	88
45024	160	95	65
45025	151	75	76
45026	100	63	37
45027	224	134	90
45028	149	110	39
45029	116	64	52
45030	197	124	73
45031	214	145	69
45032	159	105	54
45033	185	136	49
45034	263	172	91
45035	294	193	101
45036	286	169	117
45037	210	136	74
45038	233	132	101
45039	215	140	75
45040	180	97	83
45041	235	119	116
45042	260	134	126
45043	224	114	110
45044	271	139	132
45045	153	78	75
45046	156	80	76
45047	153	77	76
45048	177	78	99
Leyden 1	133	69	64
Leyden 2	99	35	64
Leyden 12	51	36	15
Leyden 17	139	77	62
Leyden 18	116	62	54
Leyden 25	118	63	55
Leyden 27	53	25	28
Leyden 37	102	67	35
Leyden 38	40	19	21
Leyden 42	147	77	70
Leyden 44	128	60	68
Leyden 45	139	77	62
Leyden 49	256	162	94
Maine 5	98	58	40
Maine 23	150	87	63
Maine 27	164	85	79
Maine 28	71	46	25
Maine 29	246	150	96
Maine 30	461	273	188
Maine 39	177	104	73
Maine 41	137	80	57
Maine 43	153	87	66
Maine 45	67	45	22
Maine 49	161	96	65
Maine 55	160	85	75
Maine 57	71	50	21
Maine 59	167	88	79
Maine 60	246	161	85
Maine 66	11	6	5
Maine 70	167	107	60
Maine 82	176	120	56
Maine 85	104	63	41
Maine 88	110	55	55
Maine 91	254	157	97
Maine 92	87	52	35
Niles 9	154	73	81
Niles 13	87	55	32
Norwood Park 1	195	109	86
Norwood Park 2	201	142	59
Norwood Park 4	209	133	76
Norwood Park 5	158	88	70
Norwood Park 6	214	130	84
Norwood Park 7	127	85	42
Norwood Park 8	114	88	26
Norwood Park 9	120	70	50
Norwood Park 10	99	61	38
Norwood Park 12	111	76	35
Norwood Park 13	137	89	48
Norwood Park 15	129	85	44
Norwood Park 16	90	60	30
Norwood Park 17	167	100	67
