Precinct	total_votes	votes|Jesus ''Chuy'' Garcia
01001	321	321
01002	270	270
01007	237	237
01009	225	225
01013	144	144
01015	165	165
01016	379	379
01017	293	293
01018	286	286
01019	331	331
01020	290	290
01022	186	186
01023	483	483
01024	293	293
01025	281	281
01026	215	215
01027	322	322
01029	378	378
01030	368	368
01031	219	219
01034	272	272
01038	171	171
01041	195	195
01042	84	84
01043	178	178
01044	270	270
11003	264	264
11037	1	1
11038	129	129
12002	206	206
12003	67	67
12005	122	122
12006	250	250
12007	249	249
12008	249	249
12010	285	285
12011	257	257
12012	226	226
12013	218	218
12014	196	196
12015	120	120
12016	183	183
12017	245	245
12018	96	96
12019	1	1
12020	238	238
12021	227	227
12022	243	243
14002	269	269
14003	187	187
14005	202	202
14006	111	111
14010	144	144
14011	124	124
14013	182	182
14014	222	222
14015	228	228
14016	165	165
14017	192	192
14019	154	154
14020	158	158
14025	122	122
14027	218	218
14028	152	152
14030	128	128
14031	130	130
15001	37	37
15004	213	213
15005	133	133
15006	195	195
15008	100	100
15009	238	238
15010	272	272
15011	223	223
15012	237	237
15015	61	61
16001	59	59
22003	292	292
22004	169	169
22005	188	188
22006	223	223
22007	158	158
22009	143	143
22010	273	273
22011	179	179
22013	196	196
22014	71	71
22015	157	157
22016	144	144
22017	226	226
22018	154	154
22019	1	1
22020	216	216
22022	175	175
22024	244	244
22025	209	209
23009	97	97
23013	181	181
23015	7	7
23024	132	132
23026	68	68
23034	83	83
23039	160	160
24016	141	141
25001	221	221
25002	352	352
25005	306	306
25007	289	289
25008	338	338
25009	278	278
25011	325	325
25012	288	288
25013	321	321
25014	20	20
25015	243	243
25017	277	277
25019	316	316
25022	268	268
25023	339	339
25024	302	302
25026	302	302
25027	28	28
25028	329	329
25030	288	288
25032	218	218
26001	117	117
26002	176	176
26005	208	208
26006	178	178
26007	239	239
26008	109	109
26009	154	154
26010	54	54
26011	194	194
26012	252	252
26013	110	110
26014	164	164
26015	96	96
26016	80	80
26018	94	94
26020	209	209
26022	101	101
26023	165	165
26024	130	130
26025	152	152
26026	133	133
26027	98	98
26029	96	96
26030	177	177
26031	92	92
26033	26	26
26034	195	195
26035	185	185
26036	6	6
26037	224	224
26038	80	80
26039	102	102
26040	150	150
26041	208	208
26042	165	165
26043	115	115
26044	69	69
26045	13	13
26047	114	114
26048	208	208
26049	98	98
28019	1	1
29001	13	13
29009	231	231
29023	153	153
29030	207	207
29038	199	199
29039	57	57
29043	122	122
30001	242	242
30002	197	197
30003	208	208
30004	201	201
30005	165	165
30006	195	195
30007	245	245
30008	300	300
30009	176	176
30010	201	201
30011	188	188
30012	173	173
30013	191	191
30014	140	140
30015	74	74
30016	104	104
30017	87	87
30018	314	314
30019	211	211
30020	229	229
30022	352	352
30023	253	253
30024	353	353
30025	341	341
30026	128	128
30027	148	148
30028	262	262
30029	113	113
30030	92	92
30031	130	130
30032	196	196
31001	115	115
31002	102	102
31003	142	142
31004	190	190
31005	162	162
31006	85	85
31007	288	288
31008	115	115
31009	142	142
31010	171	171
31011	104	104
31012	118	118
31013	169	169
31014	125	125
31015	136	136
31016	247	247
31017	103	103
31018	126	126
31019	141	141
31020	112	112
31021	115	115
31022	116	116
31023	148	148
31024	155	155
31025	141	141
31026	155	155
31027	134	134
31028	98	98
31029	98	98
31030	103	103
31031	106	106
31032	99	99
31033	119	119
31034	157	157
31035	172	172
31036	139	139
31037	143	143
31038	102	102
31039	174	174
31040	175	175
31041	113	113
32001	6	6
32003	357	357
32011	316	316
32012	252	252
32014	333	333
32016	17	17
32017	370	370
32020	344	344
32022	361	361
32026	366	366
32028	350	350
32043	313	313
33001	361	361
33003	468	468
33004	464	464
33006	286	286
33007	121	121
33008	191	191
33009	337	337
33010	238	238
33011	320	320
33012	303	303
33013	317	317
33014	139	139
33015	315	315
33016	419	419
33017	297	297
33019	194	194
33020	418	418
33021	352	352
33022	313	313
33023	347	347
33025	415	415
33026	263	263
33027	370	370
33028	326	326
35001	304	304
35002	341	341
35003	248	248
35004	267	267
35005	243	243
35006	268	268
35007	320	320
35008	281	281
35009	217	217
35010	430	430
35011	326	326
35012	164	164
35013	159	159
35014	210	210
35015	341	341
35016	143	143
35017	298	298
35018	190	190
35019	154	154
35020	245	245
35021	271	271
35022	323	323
35023	279	279
35024	244	244
35025	267	267
35026	236	236
35027	241	241
35028	283	283
35029	217	217
35030	214	214
35031	249	249
36001	178	178
36002	213	213
36003	178	178
36004	167	167
36006	160	160
36008	155	155
36009	174	174
36010	230	230
36011	122	122
36012	117	117
36013	132	132
36016	40	40
36019	260	260
36020	104	104
36021	113	113
36022	141	141
36023	142	142
36024	27	27
36025	189	189
36027	163	163
36029	111	111
37026	0	0
38001	168	168
38035	194	194
38041	241	241
39006	1	1
39012	134	134
39025	0	0
39028	166	166
39031	214	214
45001	229	229
45002	261	261
45008	219	219
45009	219	219
45010	232	232
Berwyn Ward 1 Precinct 1	179	179
Berwyn Ward 1 Precinct 5	189	189
Berwyn Ward 2 Precinct 1	133	133
Berwyn Ward 2 Precinct 4	326	326
Berwyn Ward 3 Precinct 1	210	210
Berwyn Ward 3 Precinct 2	174	174
Berwyn Ward 3 Precinct 3	189	189
Berwyn Ward 3 Precinct 4	225	225
Berwyn Ward 3 Precinct 5	298	298
Berwyn Ward 4 Precinct 1	123	123
Berwyn Ward 4 Precinct 2	221	221
Berwyn Ward 4 Precinct 3	264	264
Berwyn Ward 4 Precinct 4	160	160
Berwyn Ward 5 Precinct 1	352	352
Berwyn Ward 5 Precinct 2	215	215
Berwyn Ward 5 Precinct 3	171	171
Berwyn Ward 6 Precinct 1	111	111
Berwyn Ward 6 Precinct 3	145	145
Berwyn Ward 6 Precinct 4	182	182
Berwyn Ward 8 Precinct 2	186	186
Berwyn Ward 8 Precinct 3	159	159
Cicero 1	320	320
Cicero 2	121	121
Cicero 3	210	210
Cicero 4	228	228
Cicero 6	91	91
Cicero 7	141	141
Cicero 8	161	161
Cicero 9	230	230
Cicero 10	242	242
Cicero 12	215	215
Cicero 14	227	227
Cicero 15	219	219
Cicero 16	192	192
Cicero 17	262	262
Cicero 18	155	155
Cicero 19	326	326
Cicero 21	216	216
Cicero 22	191	191
Cicero 23	297	297
Cicero 24	254	254
Cicero 25	243	243
Cicero 26	188	188
Cicero 27	243	243
Cicero 28	232	232
Cicero 29	245	245
Cicero 30	226	226
Cicero 31	171	171
Cicero 32	168	168
Leyden 26	244	244
Oak Park 33	0	0
Proviso 3	149	149
Proviso 6	129	129
Proviso 7	3	3
Proviso 10	167	167
Proviso 11	151	151
Proviso 12	228	228
Proviso 13	178	178
Proviso 14	135	135
Proviso 15	173	173
Proviso 16	214	214
Proviso 25	124	124
Proviso 27	278	278
Proviso 28	243	243
Proviso 29	349	349
Proviso 30	11	11
Proviso 32	313	313
Proviso 54	317	317
Proviso 63	251	251
Proviso 71	248	248
Proviso 75	267	267
Proviso 78	59	59
Proviso 80	152	152
Proviso 85	139	139
Proviso 87	230	230
Proviso 88	115	115
Proviso 89	198	198
Proviso 90	405	405
Proviso 95	131	131
Proviso 97	306	306
Proviso 98	218	218
Proviso 100	285	285
Proviso 102	148	148
River Forest 1	366	366
Riverside 1	343	343
Riverside 2	13	13
Riverside 3	207	207
Riverside 4	395	395
Riverside 5	190	190
Riverside 6	195	195
Riverside 7	230	230
Riverside 8	348	348
Riverside 9	256	256
Riverside 10	317	317
Riverside 11	350	350
Riverside 12	163	163
Riverside 13	289	289
