Precinct	total_votes	votes|Silvana Tabares
23001	166	166
23002	160	160
23003	161	161
23004	202	202
23005	194	194
23006	89	89
23007	151	151
23008	196	196
23009	162	162
23010	196	196
23011	182	182
23012	187	187
23013	150	150
23014	171	171
23015	68	68
23016	175	175
23017	111	111
23018	144	144
23019	156	156
23020	102	102
23021	198	198
23022	165	165
23023	174	174
23024	130	130
23025	164	164
23026	171	171
23027	167	167
23028	169	169
23029	151	151
23030	222	222
23031	158	158
23032	158	158
23033	174	174
23034	179	179
23035	134	134
23036	152	152
23037	185	185
23038	153	153
23039	203	203
