Precinct	total_votes	votes|Danny K. Davis	votes|Craig Cameron	votes|Tracy Jennings
27030	247	225	8	14
27031	387	344	16	27
27032	483	411	37	35
27033	784	599	140	45
27034	352	325	9	18
27035	687	507	142	38
27036	354	312	15	27
27037	609	468	106	35
27038	746	558	137	51
27039	360	314	20	26
27040	722	513	163	46
27041	432	402	13	17
27042	127	117	6	4
27043	375	330	15	30
27044	357	324	13	20
27045	1730	1229	421	80
27047	353	313	25	15
27048	1103	840	200	63
27049	351	320	7	24
27050	489	433	20	36
28001	306	277	13	16
28002	378	331	19	28
28003	303	280	9	14
28004	455	347	73	35
28005	267	238	17	12
28006	230	185	27	18
28007	412	389	7	16
28008	670	489	130	51
28009	396	370	5	21
28010	582	453	85	44
28011	940	786	95	59
28012	369	351	4	14
28013	492	457	16	19
28014	388	360	3	25
28015	83	78	1	4
28016	257	234	7	16
28017	335	309	6	20
28018	333	304	12	17
28019	355	293	37	25
28020	322	289	12	21
28021	311	292	3	16
28022	382	341	12	29
28023	508	476	9	23
28024	349	313	16	20
28025	581	530	22	29
28026	392	368	4	20
28027	461	313	116	32
28028	572	409	115	48
28029	214	186	11	17
28030	57	52	3	2
28031	505	463	10	32
28032	388	355	5	28
28033	427	393	13	21
28034	709	639	29	41
28035	470	430	7	33
28036	214	199	3	12
28037	452	420	9	23
28038	146	136	7	3
28039	312	275	14	23
28040	493	457	12	24
28041	269	253	7	9
28042	412	375	8	29
28043	513	489	6	18
28044	302	282	7	13
28045	650	469	132	49
28046	794	610	125	59
29001	641	480	109	52
29002	637	596	8	33
29003	536	491	12	33
29004	572	519	20	33
29005	393	349	14	30
29006	376	351	6	19
29007	510	430	57	23
29008	466	426	11	29
29009	0	0	0	0
29010	640	480	111	49
29011	285	255	9	21
29012	574	514	28	32
29013	499	446	17	36
29014	430	403	5	22
29015	525	470	16	39
29016	461	405	9	47
29017	450	406	14	30
29018	475	428	11	36
29019	483	443	11	29
29020	503	464	10	29
29021	682	637	16	29
29022	405	349	28	28
29024	457	424	15	18
29025	537	505	12	20
29026	460	409	16	35
29027	436	415	8	13
29028	603	558	11	34
29033	350	317	8	25
29034	376	329	30	17
29035	364	341	5	18
29036	405	375	5	25
29037	450	411	13	26
29040	540	513	6	21
29041	407	377	8	22
29042	543	505	7	31
29043	384	308	38	38
29044	632	571	24	37
36005	446	354	57	35
36021	124	97	19	8
37001	385	353	8	24
37002	369	328	18	23
37003	314	287	9	18
37004	359	310	25	24
37005	451	417	9	25
37006	468	429	18	21
37007	347	294	34	19
37008	322	282	17	23
37009	455	417	13	25
37010	545	483	39	23
37011	292	269	9	14
37012	412	364	22	26
37013	321	287	13	21
37014	462	421	20	21
37015	450	413	11	26
37016	509	458	17	34
37017	320	287	11	22
37018	382	340	19	23
37019	324	281	13	30
37020	386	358	12	16
37021	394	347	28	19
37022	408	343	27	38
37023	415	386	6	23
37024	460	415	25	20
37025	384	354	15	15
37026	567	511	34	22
37027	401	364	10	27
37028	394	351	22	21
37029	423	378	20	25
37030	421	387	12	22
37031	488	442	15	31
37032	379	339	17	23
37033	477	439	14	24
37034	378	356	8	14
37035	420	399	5	16
37036	418	378	17	23
37037	479	445	9	25
37038	458	412	21	25
37039	420	376	16	28
37040	459	432	12	15
37041	458	407	18	33
42001	635	405	211	19
42002	949	672	226	51
42003	756	566	152	38
42004	1835	1221	519	95
42005	635	424	181	30
42006	669	445	192	32
42007	879	578	261	40
42008	620	457	133	30
42009	965	707	193	65
42010	1030	723	255	52
42011	516	318	180	18
42012	619	401	192	26
42013	561	375	155	31
42014	1046	654	346	46
42015	1081	675	356	50
42016	756	523	182	51
42017	1249	772	442	35
42018	997	666	284	47
42019	964	629	311	24
42020	986	593	340	53
42021	922	694	189	39
42022	435	274	137	24
42023	859	525	298	36
42024	705	459	224	22
42025	898	569	283	46
42026	1285	844	387	54
42027	508	351	127	30
42028	734	505	181	48
42029	893	568	282	43
42030	567	383	171	13
42031	917	601	277	39
42032	922	577	301	44
42033	821	599	152	70
42034	607	383	203	21
42035	930	657	223	50
42036	1357	927	360	70
42037	602	381	196	25
42038	763	481	251	31
42039	1405	912	420	73
42040	1119	791	278	50
42041	778	562	170	46
42042	1335	980	302	53
43001	383	279	87	17
43005	127	83	40	4
43009	91	61	28	2
43033	710	483	209	18
43035	762	518	215	29
43045	421	304	99	18
Berwyn Ward 6 Precinct 2	472	336	95	41
Berwyn Ward 6 Precinct 3	271	221	28	22
Berwyn Ward 6 Precinct 4	177	140	23	14
Berwyn Ward 7 Precinct 1	565	431	89	45
Berwyn Ward 7 Precinct 2	573	452	96	25
Berwyn Ward 7 Precinct 3	733	531	150	52
Berwyn Ward 7 Precinct 4	801	607	132	62
Berwyn Ward 8 Precinct 1	1056	787	185	84
Berwyn Ward 8 Precinct 2	1	1	0	0
Oak Park 1	631	555	37	39
Oak Park 2	1085	863	141	81
Oak Park 3	1125	925	113	87
Oak Park 4	959	716	172	71
Oak Park 5	997	795	137	65
