Precinct	total_votes	votes|Sean Tenner
46001	214	214
46002	253	253
46003	319	319
46004	253	253
46005	287	287
46006	221	221
46007	287	287
46008	171	171
46009	317	317
46010	421	421
46011	227	227
46012	323	323
46013	244	244
46014	191	191
46015	275	275
46016	345	345
46017	322	322
46018	293	293
46019	210	210
46020	204	204
46021	145	145
46022	198	198
46023	227	227
46024	319	319
46025	241	241
46026	340	340
46027	338	338
46028	181	181
46029	181	181
46030	297	297
46031	280	280
46032	237	237
46033	273	273
46034	284	284
46035	226	226
46036	268	268
46037	187	187
46038	260	260
46039	209	209
46040	241	241
