Precinct	total_votes	votes|Matthew J. O'Shea
19001	237	237
19002	394	394
19003	188	188
19004	269	269
19005	347	347
19006	229	229
19007	242	242
19008	242	242
19009	191	191
19010	335	335
19011	237	237
19012	199	199
19013	329	329
19014	285	285
19015	259	259
19016	253	253
19017	228	228
19018	305	305
19019	392	392
19020	297	297
19021	214	214
19022	323	323
19023	289	289
19024	194	194
19025	280	280
19026	290	290
19027	278	278
19028	299	299
19029	221	221
19030	222	222
19031	265	265
19032	225	225
19033	248	248
19034	268	268
19035	279	279
19036	337	337
19037	290	290
19038	244	244
19039	89	89
19040	300	300
19041	202	202
19042	213	213
19043	357	357
19044	271	271
19045	255	255
19046	284	284
19047	408	408
19048	285	285
19049	331	331
19050	222	222
19051	310	310
19052	251	251
19053	230	230
19054	170	170
19055	191	191
19056	316	316
19057	270	270
