Precinct	total_votes	votes|Camille Lilly
29001	267	267
29004	234	234
29005	126	126
29007	227	227
29009	214	214
29010	287	287
29012	268	268
29013	209	209
29015	260	260
29017	214	214
29023	169	169
29024	159	159
29025	253	253
29026	196	196
29027	179	179
29030	86	86
29033	138	138
29035	135	135
29036	31	31
29037	180	180
29040	240	240
29041	170	170
29043	272	272
29044	229	229
37018	154	154
37029	79	79
37035	200	200
37037	170	170
Leyden 3	192	192
Leyden 5	164	164
Leyden 6	212	212
Leyden 7	82	82
Leyden 8	186	186
Leyden 9	243	243
Leyden 10	230	230
Leyden 11	157	157
Leyden 13	193	193
Leyden 14	127	127
Leyden 16	173	173
Leyden 19	175	175
Leyden 20	87	87
Leyden 22	108	108
Leyden 26	226	226
Leyden 30	168	168
Leyden 34	86	86
Leyden 36	160	160
Leyden 39	144	144
Leyden 46	145	145
Leyden 50	277	277
Oak Park 1	326	326
Oak Park 2	508	508
Oak Park 3	551	551
Oak Park 4	427	427
Oak Park 5	474	474
Oak Park 6	455	455
Oak Park 7	309	309
Oak Park 8	443	443
Oak Park 9	284	284
Oak Park 10	432	432
Oak Park 11	366	366
Oak Park 12	211	211
Oak Park 13	399	399
Oak Park 14	427	427
Oak Park 15	498	498
Oak Park 18	329	329
Oak Park 19	416	416
Oak Park 20	529	529
Oak Park 21	322	322
Oak Park 22	313	313
Oak Park 23	382	382
Oak Park 24	312	312
Oak Park 26	391	391
Oak Park 28	478	478
Oak Park 30	425	425
Oak Park 32	277	277
Oak Park 34	330	330
Oak Park 35	533	533
Oak Park 36	265	265
Oak Park 37	236	236
