Precinct	total_votes	votes|Marie Newman	votes|Rush Darwish	votes|Daniel William Lipinski	votes|Charles M. Hughes
Lyons 3	206	108	7	87	4
Lyons 4	500	360	15	120	5
Lyons 5	295	174	15	99	7
Lyons 6	174	105	9	54	6
Lyons 7	332	211	16	86	19
Lyons 8	134	42	18	73	1
Lyons 9	441	314	9	117	1
Lyons 10	288	178	3	104	3
Lyons 11	293	202	5	86	0
Lyons 13	128	67	7	37	17
Lyons 14	426	263	9	152	2
Lyons 15	378	230	2	143	3
Lyons 16	622	427	15	178	2
Lyons 18	302	192	5	105	0
Lyons 19	216	119	10	82	5
Lyons 20	526	291	6	228	1
Lyons 21	529	315	6	203	5
Lyons 22	159	78	10	66	5
Lyons 23	260	128	12	118	2
Lyons 24	275	143	4	128	0
Lyons 25	259	134	6	115	4
Lyons 28	344	197	6	140	1
Lyons 29	159	65	9	83	2
Lyons 30	34	11	1	22	0
Lyons 31	286	158	5	122	1
Lyons 32	84	35	3	46	0
Lyons 33	92	41	5	43	3
Lyons 34	91	32	21	34	4
Lyons 35	164	68	3	91	2
Lyons 37	168	78	8	77	5
Lyons 38	111	37	22	39	13
Lyons 39	325	201	8	115	1
Lyons 40	254	156	4	93	1
Lyons 41	154	72	3	74	5
Lyons 42	257	121	10	124	2
Lyons 43	312	178	6	126	2
Lyons 44	466	214	7	240	5
Lyons 45	393	256	12	118	7
Lyons 46	167	85	7	73	2
Lyons 47	361	197	5	157	2
Lyons 48	250	111	12	119	8
Lyons 49	152	63	11	74	4
Lyons 50	324	208	10	98	8
Lyons 51	159	72	6	79	2
Lyons 52	298	146	13	134	5
Lyons 53	237	126	12	97	2
Lyons 54	152	97	5	50	0
Lyons 55	321	156	3	162	0
Lyons 56	316	152	10	147	7
Lyons 57	293	147	10	132	4
Lyons 58	139	66	17	55	1
Lyons 59	182	97	8	74	3
Lyons 60	396	171	8	205	12
Lyons 61	313	167	18	127	1
Lyons 64	217	101	6	106	4
Lyons 65	280	105	13	160	2
Lyons 66	152	83	7	56	6
Lyons 67	245	147	15	82	1
Lyons 68	177	102	9	61	5
Lyons 69	429	190	3	236	0
Lyons 70	168	85	17	43	23
Lyons 71	60	28	3	26	3
Lyons 72	450	277	8	162	3
Lyons 73	273	155	4	113	1
Lyons 74	115	55	7	48	5
Lyons 75	153	69	16	67	1
Lyons 76	149	64	8	75	2
Lyons 77	149	61	28	58	2
Lyons 78	138	71	3	62	2
Orland 1	309	149	55	96	9
Orland 2	249	127	12	105	5
Orland 4	159	102	8	45	4
Orland 8	177	89	26	61	1
Orland 9	224	124	29	66	5
Orland 12	99	47	7	41	4
Orland 14	28	19	2	5	2
Orland 15	252	105	48	95	4
Orland 16	193	80	42	69	2
Orland 18	282	124	37	117	4
Orland 20	93	51	10	28	4
Orland 22	233	123	26	81	3
Orland 23	181	80	19	79	3
Orland 26	170	86	20	62	2
Orland 29	301	138	60	96	7
Orland 36	287	139	51	87	10
Orland 39	173	81	16	75	1
Orland 41	165	69	19	75	2
Orland 42	228	105	20	100	3
Orland 43	205	96	31	73	5
Orland 44	150	62	7	76	5
Orland 45	188	81	16	88	3
Orland 47	249	125	36	83	5
Orland 49	149	73	7	66	3
Orland 50	76	39	6	28	3
Orland 51	274	126	16	124	8
Orland 53	212	115	11	84	2
Orland 56	144	69	17	57	1
Orland 57	201	87	24	89	1
Orland 58	209	100	14	93	2
Orland 59	218	107	31	76	4
Orland 60	151	71	15	61	4
Orland 61	193	80	16	95	2
Orland 63	242	108	20	105	9
Orland 64	271	115	46	106	4
Orland 65	192	91	24	75	2
Orland 66	196	101	26	64	5
Orland 68	147	68	28	48	3
Orland 70	274	106	42	121	5
Orland 71	146	70	10	62	4
Orland 74	130	60	12	54	4
Orland 75	209	94	34	81	0
Palos 2	176	71	8	95	2
Palos 3	193	101	13	76	3
Palos 4	149	56	12	80	1
Palos 5	175	73	33	65	4
Palos 6	100	47	3	47	3
Palos 7	242	84	59	94	5
Palos 8	79	29	17	32	1
Palos 9	80	24	3	53	0
Palos 10	249	114	14	116	5
Palos 11	204	69	25	105	5
Palos 12	195	88	19	78	10
Palos 13	183	88	22	71	2
Palos 14	166	66	17	81	2
Palos 15	217	105	12	97	3
Palos 16	294	139	23	128	4
Palos 17	264	114	25	121	4
Palos 18	238	94	40	100	4
Palos 19	284	128	24	129	3
Palos 20	244	113	13	114	4
Palos 21	143	49	27	58	9
Palos 22	42	19	3	19	1
Palos 23	142	66	31	44	1
Palos 24	153	73	10	68	2
Palos 25	307	157	126	24	0
Palos 26	113	50	11	50	2
Palos 27	236	119	21	88	8
Palos 28	170	96	13	49	12
Palos 29	219	110	9	98	2
Palos 30	315	129	25	149	12
Palos 31	239	103	38	97	1
Palos 32	104	33	36	35	0
Palos 34	153	66	26	57	4
Palos 35	277	125	42	106	4
Palos 36	203	107	20	73	3
Palos 37	239	96	16	122	5
Palos 38	184	81	22	80	1
Palos 39	270	121	50	97	2
Riverside 2	0	0	0	0	0
Stickney 1	108	59	3	41	5
Stickney 2	223	125	9	81	8
Stickney 3	338	154	27	152	5
Stickney 4	249	100	34	110	5
Stickney 5	334	147	43	138	6
Stickney 6	363	125	48	185	5
Stickney 7	166	67	12	83	4
Stickney 8	232	75	22	130	5
Stickney 9	251	88	30	124	9
Stickney 10	291	169	6	107	9
Stickney 11	275	99	20	154	2
Stickney 12	250	97	31	116	6
Stickney 13	237	86	22	121	8
Stickney 14	298	117	36	144	1
Stickney 15	318	140	32	139	7
Stickney 16	293	166	12	106	9
Stickney 17	157	91	5	56	5
Stickney 18	138	68	17	52	1
Stickney 19	193	106	15	67	5
Stickney 20	212	95	14	98	5
Worth 1	136	55	26	52	3
Worth 2	264	112	24	127	1
Worth 3	284	149	11	121	3
Worth 4	328	130	81	101	16
Worth 5	311	132	19	155	5
Worth 6	202	89	21	88	4
Worth 9	136	56	7	69	4
Worth 11	288	130	23	132	3
Worth 15	146	84	6	49	7
Worth 21	322	132	41	142	7
Worth 22	172	84	14	68	6
Worth 25	329	144	35	146	4
Worth 26	193	89	28	67	9
Worth 27	208	103	18	83	4
Worth 28	187	75	24	78	10
Worth 30	262	123	31	107	1
Worth 33	208	93	26	85	4
Worth 35	280	131	10	136	3
Worth 36	297	139	20	129	9
Worth 40	272	132	14	112	14
Worth 41	185	70	6	107	2
Worth 44	126	52	18	54	2
Worth 46	290	143	15	124	8
Worth 47	130	69	6	50	5
Worth 48	179	81	11	82	5
Worth 49	140	64	8	67	1
Worth 51	146	64	15	64	3
Worth 53	227	126	11	85	5
Worth 56	264	89	13	157	5
Worth 58	275	111	24	134	6
Worth 60	178	68	14	94	2
Worth 61	191	84	19	83	5
Worth 62	166	63	9	92	2
Worth 63	242	109	14	111	8
Worth 66	196	76	23	94	3
Worth 67	117	57	11	47	2
Worth 70	290	117	34	130	9
Worth 71	133	57	14	56	6
Worth 74	132	52	15	64	1
Worth 75	320	148	22	138	12
Worth 76	138	51	27	55	5
Worth 77	291	124	12	142	13
Worth 78	266	128	30	106	2
Worth 81	53	17	5	30	1
Worth 82	207	95	24	85	3
Worth 83	102	44	18	35	5
Worth 84	273	115	22	128	8
Worth 85	271	112	14	138	7
Worth 86	252	83	28	136	5
Worth 90	252	99	37	102	14
Worth 91	84	34	6	42	2
Worth 92	275	122	17	131	5
Worth 93	152	74	8	69	1
Worth 94	274	109	31	129	5
Worth 98	298	122	38	133	5
Worth 99	150	63	18	67	2
Worth 100	205	77	14	112	2
