Precinct	total_votes	votes|Leslie A. Hairston
05001	194	194
05002	174	174
05003	258	258
05004	340	340
05005	212	212
05006	190	190
05007	286	286
05008	274	274
05009	335	335
05010	189	189
05011	281	281
05012	153	153
05013	220	220
05014	225	225
05015	247	247
05016	226	226
05017	179	179
05018	252	252
05019	254	254
05020	335	335
05021	263	263
05022	323	323
05023	407	407
05024	295	295
05025	240	240
05026	233	233
05027	250	250
05028	268	268
05029	244	244
05030	171	171
05031	168	168
05032	293	293
05033	262	262
05034	306	306
05035	315	315
05036	98	98
05037	288	288
05038	205	205
05039	200	200
05040	181	181
05041	157	157
