Precinct	total_votes	votes|Byron Sigcho-Lopez
25001	194	194
25002	290	290
25003	255	255
25004	148	148
25005	272	272
25006	74	74
25007	254	254
25008	289	289
25009	230	230
25010	215	215
25011	279	279
25012	257	257
25013	281	281
25014	147	147
25015	201	201
25016	237	237
25017	222	222
25018	135	135
25019	273	273
25020	103	103
25021	282	282
25022	241	241
25023	290	290
25024	266	266
25025	187	187
25026	256	256
25027	231	231
25028	279	279
25029	149	149
25030	239	239
25031	280	280
25032	202	202
