Precinct	total_votes	votes|Thaddeus Jones
09003	237	237
09004	90	90
09007	274	274
09011	276	276
09015	425	425
09016	370	370
09018	275	275
09026	451	451
09028	148	148
09031	47	47
09033	282	282
09041	308	308
09044	266	266
09045	316	316
Bloom 6	1	1
Bloom 7	528	528
Bloom 8	527	527
Bloom 9	369	369
Bloom 10	181	181
Bloom 11	327	327
Bloom 21	122	122
Bloom 24	824	824
Bloom 26	3	3
Bloom 29	235	235
Bloom 33	475	475
Bloom 34	348	348
Bloom 37	333	333
Bloom 45	798	798
Bloom 48	456	456
Bloom 49	584	584
Bloom 60	507	507
Thornton 6	689	689
Thornton 7	479	479
Thornton 8	599	599
Thornton 20	356	356
Thornton 21	799	799
Thornton 22	500	500
Thornton 23	497	497
Thornton 27	709	709
Thornton 34	778	778
Thornton 37	625	625
Thornton 40	388	388
Thornton 41	343	343
Thornton 45	482	482
Thornton 48	529	529
Thornton 53	367	367
Thornton 54	814	814
Thornton 55	415	415
Thornton 64	431	431
Thornton 66	819	819
Thornton 72	553	553
Thornton 73	822	822
Thornton 74	590	590
Thornton 75	497	497
Thornton 76	656	656
Thornton 80	515	515
Thornton 81	513	513
Thornton 82	400	400
Thornton 83	720	720
Thornton 84	705	705
Thornton 86	477	477
Thornton 87	738	738
Thornton 88	533	533
Thornton 89	770	770
Thornton 90	561	561
Thornton 91	527	527
Thornton 92	666	666
Thornton 100	331	331
Thornton 105	479	479
Thornton 112	8	8
Thornton 115	550	550
Thornton 121	399	399
Thornton 122	766	766
Thornton 123	386	386
