Precinct	total_votes	votes|Antonio ''Tony'' Munoz
11001	454	454
11003	492	492
11004	387	387
11005	601	601
11008	451	451
11009	383	383
11010	447	447
11011	476	476
11014	250	250
11015	171	171
11016	313	313
11017	571	571
11018	375	375
11019	619	619
11020	324	324
11022	555	555
11023	249	249
11025	555	555
11026	474	474
11027	175	175
11030	250	250
11036	222	222
11037	139	139
11038	253	253
12001	410	410
12003	502	502
12004	487	487
12005	362	362
12006	22	22
12008	427	427
12009	342	342
12013	352	352
12017	197	197
12019	428	428
12020	2	2
12021	454	454
12023	444	444
14001	329	329
14002	542	542
14004	342	342
14005	568	568
14006	167	167
14007	527	527
14008	485	485
14009	440	440
14010	279	279
14012	417	417
14013	346	346
14014	384	384
14016	290	290
14017	327	327
14018	46	46
14019	379	379
14020	310	310
14021	394	394
14022	149	149
14023	223	223
14024	427	427
14025	205	205
14026	304	304
14027	379	379
14028	348	348
14029	299	299
14030	270	270
14031	219	219
15003	48	48
15004	392	392
15005	315	315
15008	381	381
15009	480	480
15010	236	236
15011	255	255
15012	431	431
15013	312	312
15014	292	292
15015	346	346
15016	456	456
15019	336	336
16001	496	496
16002	89	89
16007	298	298
16011	317	317
16013	370	370
16017	275	275
16023	421	421
16032	390	390
16035	439	439
17001	230	230
17007	365	365
17012	507	507
17014	411	411
17016	363	363
17030	94	94
20020	0	0
22001	214	214
22002	430	430
22008	516	516
22012	301	301
22023	414	414
23003	294	294
23006	142	142
23012	26	26
23014	270	270
23017	213	213
23019	339	339
23020	36	36
23022	110	110
23024	214	214
23025	266	266
23026	160	160
23031	337	337
23037	132	132
25001	378	378
25002	608	608
25005	520	520
25006	163	163
25007	512	512
25008	571	571
25009	500	500
25011	531	531
25012	485	485
25013	591	591
25014	367	367
25015	421	421
25017	539	539
25018	285	285
25019	524	524
25022	511	511
25023	578	578
25024	505	505
25026	501	501
25027	54	54
25028	536	536
25030	487	487
25032	415	415
28019	2	2
