Precinct	total_votes	votes|Marie Newman	votes|Mike Fricilone
18046	534	415	119
19001	462	234	228
19002	93	71	22
19003	460	133	327
19004	632	232	400
19005	197	137	60
19006	588	253	335
19007	483	290	193
19008	591	192	399
19009	374	174	200
19010	569	445	124
19011	487	137	350
19012	476	154	322
19015	715	263	452
19016	536	201	335
19017	448	210	238
19018	509	376	133
19019	657	510	147
19021	567	203	364
19022	564	398	166
19023	549	273	276
19024	397	149	248
19025	373	223	150
19026	521	337	184
19029	590	224	366
19030	528	193	335
19032	483	249	234
19033	589	204	385
19034	454	309	145
19035	468	332	136
19041	537	182	355
19044	634	215	419
19045	535	272	263
19046	533	256	277
19050	437	262	175
19051	576	308	268
19052	647	265	382
19053	492	302	190
19054	466	142	324
19055	465	158	307
19056	549	426	123
19057	389	316	73
20004	76	63	13
20015	219	189	30
20020	0	0	0
22001	250	238	12
22002	584	407	177
22008	654	520	134
22012	395	302	93
22023	493	474	19
23001	444	217	227
23002	491	271	220
23003	444	227	217
23004	519	313	206
23005	467	406	61
23006	477	377	100
23007	431	352	79
23008	557	390	167
23009	197	172	25
23010	525	418	107
23011	519	446	73
23012	508	225	283
23014	448	236	212
23015	351	308	43
23016	465	230	235
23017	213	191	22
23018	426	238	188
23019	258	226	32
23020	324	273	51
23021	449	206	243
23022	479	302	177
23023	442	263	179
23025	407	325	82
23026	290	205	85
23027	437	212	225
23028	518	281	237
23029	405	253	152
23030	534	433	101
23031	313	259	54
23032	427	369	58
23033	512	442	70
23034	310	269	41
23035	372	198	174
23036	469	240	229
23037	510	237	273
23038	428	266	162
23039	94	82	12
Berwyn Ward 1 Precinct 2	572	448	124
Berwyn Ward 1 Precinct 3	889	688	201
Berwyn Ward 1 Precinct 4	525	395	130
Berwyn Ward 2 Precinct 2	583	442	141
Berwyn Ward 2 Precinct 3	818	617	201
Cicero 5	741	567	174
Cicero 6	410	338	72
Cicero 11	665	520	145
Cicero 13	565	411	154
Cicero 20	433	360	73
Lemont 1	942	330	612
Lemont 2	633	225	408
Lemont 3	1,016	341	675
Lemont 4	858	277	581
Lemont 5	911	386	525
Lemont 6	947	364	583
Lemont 7	716	328	388
Lemont 8	981	448	533
Lemont 9	559	181	378
Lemont 10	673	315	358
Lemont 11	1,174	446	728
Lemont 12	1,344	465	879
Lemont 13	1,236	413	823
Lemont 14	883	263	620
Lyons 1	74	49	25
Lyons 2	579	392	187
Lyons 3	624	369	255
Lyons 4	1,067	724	343
Lyons 5	756	451	305
Lyons 6	517	306	211
Lyons 7	684	565	119
Lyons 8	402	238	164
Lyons 9	842	590	252
Lyons 10	633	414	219
Lyons 11	549	350	199
Lyons 13	320	303	17
Lyons 14	954	582	372
Lyons 15	823	489	334
Lyons 16	1,346	887	459
Lyons 18	630	400	230
Lyons 19	696	464	232
Lyons 20	1,242	636	606
Lyons 21	1,164	648	516
Lyons 22	466	317	149
Lyons 23	913	411	502
Lyons 24	617	307	310
Lyons 25	757	408	349
Lyons 28	1,045	480	565
Lyons 29	699	323	376
Lyons 30	107	53	54
Lyons 31	677	335	342
Lyons 32	300	146	154
Lyons 33	278	152	126
Lyons 34	335	186	149
Lyons 35	705	266	439
Lyons 37	498	318	180
Lyons 38	409	254	155
Lyons 39	742	373	369
Lyons 40	632	351	281
Lyons 41	484	199	285
Lyons 42	711	349	362
Lyons 43	630	361	269
Lyons 44	1,150	532	618
Lyons 45	1,020	675	345
Lyons 46	646	285	361
Lyons 47	733	432	301
Lyons 48	672	388	284
Lyons 49	467	195	272
Lyons 50	861	538	323
Lyons 51	610	321	289
Lyons 52	821	449	372
Lyons 53	759	350	409
Lyons 54	393	225	168
Lyons 55	825	334	491
Lyons 56	979	692	287
Lyons 57	752	595	157
Lyons 58	651	342	309
Lyons 59	612	412	200
Lyons 60	982	849	133
Lyons 61	734	385	349
Lyons 64	666	428	238
Lyons 65	933	486	447
Lyons 66	448	298	150
Lyons 67	760	508	252
Lyons 68	564	373	191
Lyons 69	994	470	524
Lyons 70	457	436	21
Lyons 71	356	240	116
Lyons 72	964	544	420
Lyons 73	693	419	274
Lyons 74	394	214	180
Lyons 75	518	286	232
Lyons 76	555	300	255
Lyons 77	593	284	309
Lyons 78	498	212	286
Orland 1	1,128	639	489
Orland 2	897	395	502
Orland 4	549	271	278
Orland 8	659	330	329
Orland 9	893	491	402
Orland 12	389	169	220
Orland 14	148	82	66
Orland 15	1,054	429	625
Orland 16	782	322	460
Orland 18	1,016	485	531
Orland 20	451	179	272
Orland 22	689	357	332
Orland 23	568	290	278
Orland 26	623	330	293
Orland 29	1,246	547	699
Orland 36	935	519	416
Orland 39	584	281	303
Orland 41	672	298	374
Orland 42	834	394	440
Orland 43	652	329	323
Orland 44	625	292	333
Orland 45	666	304	362
Orland 47	1,072	474	598
Orland 49	535	237	298
Orland 50	306	155	151
Orland 51	959	427	532
Orland 53	594	294	300
Orland 56	646	228	418
Orland 57	745	324	421
Orland 58	751	356	395
Orland 59	766	353	413
Orland 60	529	241	288
Orland 61	612	292	320
Orland 63	808	358	450
Orland 64	1,055	395	660
Orland 65	715	306	409
Orland 66	665	335	330
Orland 68	601	278	323
Orland 70	997	494	503
Orland 71	678	247	431
Orland 74	467	233	234
Orland 75	925	343	582
Palos 2	547	212	335
Palos 3	598	264	334
Palos 4	554	277	277
Palos 5	524	248	276
Palos 6	402	226	176
Palos 7	793	415	378
Palos 8	342	154	188
Palos 9	253	88	165
Palos 10	872	332	540
Palos 11	748	297	451
Palos 12	710	384	326
Palos 13	752	296	456
Palos 14	463	244	219
Palos 15	640	276	364
Palos 16	962	412	550
Palos 17	929	461	468
Palos 18	788	408	380
Palos 19	884	448	436
Palos 20	859	419	440
Palos 21	556	282	274
Palos 22	111	61	50
Palos 23	550	310	240
Palos 24	488	190	298
Palos 25	550	477	73
Palos 26	485	221	264
Palos 27	768	427	341
Palos 28	583	463	120
Palos 29	756	323	433
Palos 30	788	385	403
Palos 31	819	371	448
Palos 32	358	168	190
Palos 34	485	239	246
Palos 35	971	432	539
Palos 36	857	418	439
Palos 37	858	349	509
Palos 38	753	335	418
Palos 39	910	397	513
Riverside 2	2	2	0
Stickney 1	362	203	159
Stickney 2	533	364	169
Stickney 3	999	600	399
Stickney 4	801	430	371
Stickney 5	909	504	405
Stickney 6	1,002	558	444
Stickney 7	433	288	145
Stickney 8	720	414	306
Stickney 9	672	392	280
Stickney 10	808	515	293
Stickney 11	754	434	320
Stickney 12	777	442	335
Stickney 13	624	379	245
Stickney 14	914	487	427
Stickney 15	816	510	306
Stickney 16	842	572	270
Stickney 17	493	321	172
Stickney 18	432	245	187
Stickney 19	629	410	219
Stickney 20	577	369	208
Worth 1	422	254	168
Worth 2	854	490	364
Worth 3	721	405	316
Worth 4	973	720	253
Worth 5	800	376	424
Worth 6	805	405	400
Worth 9	430	230	200
Worth 11	742	438	304
Worth 15	456	256	200
Worth 21	1,004	579	425
Worth 22	582	338	244
Worth 25	855	511	344
Worth 26	596	354	242
Worth 27	590	314	276
Worth 28	526	375	151
Worth 30	785	450	335
Worth 33	727	407	320
Worth 35	847	441	406
Worth 36	785	500	285
Worth 40	760	516	244
Worth 41	398	221	177
Worth 44	515	278	237
Worth 46	894	482	412
Worth 47	428	258	170
Worth 48	532	307	225
Worth 49	459	241	218
