Precinct	total_votes	votes|John C. D'Amico
33002	168	168
33007	71	71
35030	5	5
39001	215	215
39002	149	149
39004	200	200
39005	238	238
39006	193	193
39007	191	191
39008	215	215
39009	179	179
39010	117	117
39011	201	201
39012	148	148
39013	159	159
39014	219	219
39015	220	220
39016	142	142
39017	226	226
39018	203	203
39019	220	220
39024	12	12
39025	32	32
39026	189	189
39027	38	38
39029	130	130
39030	218	218
39031	23	23
39032	164	164
39033	220	220
39035	200	200
39036	57	57
39037	205	205
39038	137	137
39039	171	171
39040	208	208
39041	238	238
39042	248	248
39043	204	204
39044	164	164
39045	200	200
41006	290	290
41009	184	184
41014	264	264
41019	197	197
41032	182	182
41039	254	254
41047	246	246
45032	51	51
50024	132	132
50025	25	25
Maine 1	112	112
Maine 2	141	141
Maine 5	82	82
Maine 15	106	106
Maine 31	166	166
Maine 32	99	99
Maine 33	106	106
Maine 40	133	133
Maine 44	165	165
Maine 46	180	180
Maine 51	148	148
Maine 52	216	216
Maine 58	162	162
Maine 60	23	23
Maine 62	85	85
Maine 63	136	136
Maine 69	112	112
Maine 71	94	94
Maine 72	118	118
Maine 73	45	45
Maine 74	169	169
Maine 75	152	152
Maine 76	101	101
Maine 78	100	100
Maine 81	59	59
Maine 83	86	86
Maine 84	85	85
Maine 89	72	72
Maine 90	76	76
Niles 1	249	249
Niles 2	183	183
Niles 3	34	34
Niles 6	90	90
Niles 11	147	147
Niles 13	104	104
Niles 26	77	77
Niles 38	359	359
Niles 43	246	246
Niles 50	274	274
Niles 53	346	346
Niles 54	171	171
Niles 58	8	8
