Precinct	total_votes	votes|Tom Tunney
44001	333	333
44002	261	261
44003	233	233
44004	184	184
44005	220	220
44006	368	368
44007	222	222
44008	263	263
44009	242	242
44010	254	254
44011	295	295
44012	313	313
44013	237	237
44014	174	174
44015	252	252
44016	320	320
44017	346	346
44018	277	277
44019	348	348
44020	263	263
44021	318	318
44022	309	309
44023	278	278
44024	209	209
44025	282	282
44026	344	344
44027	336	336
44028	255	255
44029	298	298
44030	321	321
44031	227	227
44032	308	308
44033	249	249
44034	326	326
44035	249	249
44036	242	242
44037	340	340
44038	245	245
44039	277	277
44040	267	267
44041	354	354
