Precinct	total_votes	votes|Michael J. Madigan
13001	167	167
13002	158	158
13003	156	156
13004	183	183
13005	222	222
13006	210	210
13007	143	143
13008	145	145
13009	172	172
13010	163	163
13011	216	216
13012	165	165
13013	196	196
13014	169	169
13015	278	278
13016	128	128
13017	146	146
13018	136	136
13019	244	244
13020	133	133
13021	177	177
13022	174	174
13023	136	136
13024	168	168
13025	185	185
13026	158	158
13027	155	155
13028	160	160
13029	147	147
13030	163	163
13031	177	177
13032	154	154
13033	164	164
13034	232	232
13035	225	225
13036	133	133
13037	185	185
13038	170	170
13039	176	176
13040	165	165
13041	232	232
13042	183	183
13043	172	172
13044	191	191
13045	220	220
13046	213	213
13047	216	216
13048	164	164
14003	142	142
14006	18	18
14010	0	0
14011	105	105
14015	171	171
14018	28	28
14022	153	153
14023	21	21
18015	193	193
18043	121	121
18046	160	160
23001	86	86
23002	129	129
23004	172	172
23005	183	183
23006	57	57
23007	160	160
23008	186	186
23009	152	152
23010	190	190
23011	178	178
23013	133	133
23014	15	15
23015	67	67
23017	28	28
23018	118	118
23020	94	94
23022	52	52
23023	148	148
23024	44	44
23025	32	32
23026	88	88
23028	149	149
23029	137	137
23030	202	202
23032	145	145
23033	169	169
23034	178	178
23035	124	124
23038	126	126
23039	184	184
Stickney 3	233	233
Stickney 12	0	0
Stickney 20	144	144
