Precinct	total_votes	votes|Jesus ''Chuy'' Garcia	votes|Jesus Solorio
01001	746	646	100
01002	603	542	61
01007	486	423	63
01009	496	425	71
01013	351	308	43
01015	505	416	89
01016	767	677	90
01017	615	551	64
01018	675	623	52
01019	813	742	71
01020	531	487	44
01022	486	424	62
01023	896	805	91
01024	634	565	69
01025	678	603	75
01026	473	416	57
01027	777	646	131
01029	909	788	121
01030	786	700	86
01031	645	561	84
01034	557	505	52
01038	535	464	71
01041	401	368	33
01042	223	194	29
01043	450	388	62
01044	640	566	74
11003	597	539	58
11037	1	1	0
11038	299	258	41
12002	442	384	58
12003	128	102	26
12005	311	233	78
12006	605	511	94
12007	465	429	36
12008	492	412	80
12010	557	521	36
12011	554	488	66
12012	517	440	77
12013	552	476	76
12014	457	423	34
12015	211	195	16
12016	461	416	45
12017	591	521	70
12018	186	170	16
12019	6	3	3
12020	584	527	57
12021	528	450	78
12022	478	439	39
14002	641	537	104
14003	475	431	44
14005	649	586	63
14006	258	237	21
14010	348	283	65
14011	283	243	40
14013	426	351	75
14014	473	430	43
14015	527	483	44
14016	347	297	50
14017	423	361	62
14019	450	396	54
14020	372	323	49
14025	273	238	35
14027	486	397	89
14028	396	334	62
14030	317	298	19
14031	259	223	36
15001	88	80	8
15004	482	440	42
15005	350	319	31
15006	495	433	62
15008	301	271	30
15009	629	567	62
15010	632	553	79
15011	576	498	78
15012	576	501	75
15015	162	136	26
16001	173	162	11
22003	707	624	83
22004	385	353	32
22005	461	410	51
22006	458	424	34
22007	363	341	22
22009	378	352	26
22010	629	561	68
22011	401	369	32
22013	505	459	46
22014	165	151	14
22015	377	340	37
22016	388	348	40
22017	630	554	76
22018	396	363	33
22019	4	4	0
22020	459	420	39
22022	451	400	51
22024	559	504	55
22025	454	417	37
23009	241	215	26
23013	445	386	59
23015	66	56	10
23024	406	348	58
23026	165	143	22
23034	206	175	31
23039	402	357	45
24016	346	319	27
25001	469	420	49
25002	724	671	53
25005	619	542	77
25007	617	566	51
25008	680	636	44
25009	591	550	41
25011	618	559	59
25012	547	484	63
25013	719	675	44
25014	63	55	8
25015	517	444	73
25017	641	578	63
25019	632	594	38
25022	589	542	47
25023	675	605	70
25024	602	556	46
25026	576	522	54
25027	60	50	10
25028	628	578	50
25030	586	526	60
25032	532	441	91
26001	235	217	18
26002	398	349	49
26005	406	374	32
26006	406	369	37
26007	428	395	33
26008	296	262	34
26009	388	348	40
26010	106	94	12
26011	433	373	60
26012	478	427	51
26013	280	253	27
26014	377	337	40
26015	312	271	41
26016	260	221	39
26018	337	292	45
26020	425	367	58
26022	276	237	39
26023	348	315	33
26024	382	346	36
26025	377	346	31
26026	328	299	29
26027	262	228	34
26029	249	211	38
26030	379	355	24
26031	222	182	40
26033	57	50	7
26034	503	449	54
26035	409	369	40
26036	12	10	2
26037	480	437	43
26038	249	214	35
26039	214	180	34
26040	306	266	40
26041	486	444	42
26042	369	331	38
26043	291	266	25
26044	249	226	23
26045	90	81	9
26047	345	304	41
26048	475	431	44
26049	311	275	36
28019	2	2	0
29001	30	27	3
29009	548	432	116
29023	433	321	112
29030	677	589	88
29038	628	475	153
29039	272	201	71
29043	231	207	24
