Precinct	total_votes	votes|Tim Egan
02001	201	201
02002	151	151
02003	218	218
02004	203	203
02005	250	250
02006	193	193
02007	138	138
02008	211	211
02009	133	133
02010	119	119
02011	193	193
02012	200	200
02013	197	197
02014	259	259
02015	188	188
02016	208	208
02017	279	279
02018	191	191
02019	90	90
02020	207	207
02021	232	232
02022	211	211
02023	136	136
02024	163	163
02025	213	213
02026	164	164
02027	144	144
02028	192	192
02029	214	214
02030	169	169
02031	253	253
02032	133	133
02033	323	323
02034	181	181
02035	196	196
02036	175	175
02037	212	212
02038	157	157
02039	112	112
02040	174	174
02041	174	174
02042	179	179
02043	196	196
02044	129	129
02045	206	206
02046	119	119
