Precinct	total_votes	votes|Lindsey LaPointe	votes|Jeff Muehlfelder	votes|Joseph Schreiner
29029	515	320	176	19
29031	266	142	112	12
29032	593	335	235	23
38001	525	390	109	26
38003	589	318	258	13
38005	584	337	224	23
38006	600	319	265	16
38007	377	170	194	13
38009	645	314	319	12
38011	505	317	173	15
38013	645	329	298	18
38014	603	382	207	14
38015	537	354	165	18
38017	532	215	302	15
38018	607	357	241	9
38019	642	373	251	18
38021	540	344	173	23
38022	521	360	145	16
38024	603	285	300	18
38025	540	325	187	28
38026	601	345	236	20
38027	601	310	270	21
38029	600	357	229	14
38030	588	280	286	22
38031	545	382	141	22
38032	552	365	158	29
38033	563	368	172	23
38036	540	359	171	10
38038	561	328	222	11
38040	573	382	172	19
38041	506	399	95	12
39020	713	396	297	20
39021	567	316	234	17
39023	576	329	234	13
39024	708	389	300	19
39041	4	1	3	0
41003	250	135	108	7
41012	647	298	336	13
41024	589	251	327	11
41030	583	309	252	22
41038	598	284	298	16
45012	559	410	126	23
45013	486	363	110	13
45014	828	624	169	35
45015	684	535	132	17
45016	484	337	130	17
45017	671	443	201	27
45018	655	420	214	21
45019	352	229	105	18
45020	421	301	109	11
45021	539	320	202	17
45022	565	359	178	28
45023	564	335	212	17
45024	465	246	204	15
45025	383	213	154	16
45026	337	167	166	4
45027	586	323	238	25
45028	501	310	166	25
45029	390	223	154	13
45030	550	412	123	15
45031	484	357	111	16
45032	396	283	99	14
45033	413	300	98	15
45034	594	401	168	25
45035	626	417	186	23
45036	615	388	211	16
45037	571	349	198	24
45038	581	371	192	18
45039	583	348	218	17
45040	532	304	208	20
45041	541	306	210	25
45042	535	297	219	19
45043	597	293	283	21
45044	564	295	251	18
45045	394	181	205	8
45046	458	244	200	14
45047	433	227	194	12
45048	492	219	260	13
Leyden 37	503	218	266	19
Leyden 49	1072	582	460	30
Norwood Park 1	791	415	358	18
Norwood Park 2	747	362	361	24
Norwood Park 4	931	412	491	28
Norwood Park 12	566	285	256	25
Norwood Park 15	638	301	314	23
Norwood Park 16	533	229	292	12
