Precinct	total_votes	votes|Walter Burnett, Jr.
27001	268	268
27002	170	170
27003	111	111
27004	99	99
27005	147	147
27006	197	197
27007	253	253
27008	149	149
27009	86	86
27010	214	214
27011	155	155
27012	117	117
27013	318	318
27014	85	85
27015	111	111
27016	152	152
27017	194	194
27018	143	143
27019	93	93
27020	122	122
27021	158	158
27022	114	114
27023	157	157
27024	105	105
27025	191	191
27026	136	136
27027	234	234
27028	148	148
27029	103	103
27030	107	107
27031	158	158
27032	194	194
27033	197	197
27034	145	145
27035	202	202
27036	159	159
27037	190	190
27038	259	259
27039	154	154
27040	213	213
27041	170	170
27042	135	135
27043	144	144
27044	133	133
27045	323	323
27046	124	124
27047	146	146
27048	297	297
27049	154	154
27050	190	190
