Precinct	total_votes	votes|Sophia Olazaba (Warren)	votes|Will Guzzardi (Warren)	votes|Venu Gupta (Warren)	votes|Omar Aquino (Warren)	votes|Abby Witt (Warren)	votes|Emanuel ''Chris'' Welch (Biden)	votes|Claudia P. Rodriguez (Biden)	votes|Juan Jose Gonzalez (Biden)	votes|Angelica Alfaro (Biden)	votes|Alma Anaya (Sanders)	votes|Melissa Rubio (Sanders)	votes|Shana East (Sanders)	votes|Byron Sigcho-Lopez (Sanders)	votes|Colin Bird-Martinez (Sanders)	votes|Jesus Ayala, Jr. (Yang)	votes|Bridget Flynn (Yang)	votes|Melissa Strube (Yang)	votes|Peter Gariepy (Buttigieg)
35024	1069	32	18	14	18	18	57	63	64	53	153	143	125	129	123	23	9	10	17
35025	1298	34	43	26	24	33	47	58	51	53	191	190	179	171	169	8	2	5	14
35026	1061	13	8	9	16	11	67	74	67	68	147	153	129	127	122	11	12	5	22
35027	1125	29	19	17	19	29	83	91	90	88	131	123	117	126	111	10	10	9	23
35028	1294	35	51	28	26	23	65	82	76	67	180	168	158	152	139	11	11	4	18
35029	973	23	15	11	19	13	47	62	59	57	139	141	110	115	117	16	8	10	11
35030	874	27	16	22	25	19	78	83	75	71	93	99	75	79	74	13	4	9	12
35031	1173	42	30	23	26	31	75	91	82	78	145	143	129	122	119	8	5	7	17
36001	696	21	10	10	40	11	56	80	62	73	70	77	50	54	52	10	5	6	9
36002	991	18	11	8	34	15	61	76	81	67	128	130	97	107	98	25	10	13	12
36003	753	15	10	8	24	17	50	66	55	52	99	95	81	78	77	5	6	6	9
36004	726	15	6	2	27	15	52	70	55	60	89	88	73	72	71	11	6	5	9
36006	584	12	11	5	33	7	35	53	43	43	78	78	55	56	53	10	3	4	5
36008	668	5	7	5	30	11	33	46	47	39	91	97	74	78	76	17	5	5	2
36009	701	15	9	9	22	8	32	47	44	41	110	103	80	81	77	7	4	6	6
36010	963	16	13	8	36	8	73	86	74	76	116	122	100	101	97	13	5	3	16
36011	469	8	4	0	21	5	26	37	36	35	65	61	47	51	43	12	6	7	5
36012	452	10	5	4	23	6	19	40	30	32	60	66	47	47	46	10	1	3	3
36013	476	9	4	1	32	4	33	44	49	41	58	57	38	44	39	12	2	5	4
36016	174	4	5	3	6	4	12	12	12	13	21	19	17	19	16	4	3	2	2
36019	922	28	8	9	42	16	78	85	81	77	108	110	83	85	76	9	3	6	18
36020	462	7	10	6	4	5	41	49	41	42	52	53	45	46	43	5	2	1	10
36021	462	11	7	5	21	9	26	32	36	27	61	60	43	46	47	16	4	3	8
36022	571	12	3	5	27	2	41	45	39	40	82	80	59	63	57	8	1	2	5
36023	584	7	4	4	32	5	27	33	41	30	89	82	71	70	64	14	4	4	3
36024	105	2	1	0	3	1	4	10	8	9	15	18	9	10	8	3	2	1	1
36025	679	16	7	7	37	10	23	33	39	29	101	111	74	83	83	13	4	4	5
36027	701	8	6	2	22	12	69	73	66	65	83	86	64	64	61	5	6	3	6
36029	484	11	5	4	14	12	48	58	51	56	49	38	40	37	32	14	4	4	7
37026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38001	837	23	14	10	11	20	75	83	80	73	84	93	79	80	74	10	6	5	17
38035	779	17	38	6	21	13	65	79	63	59	90	93	71	65	61	10	11	6	11
38041	1124	29	25	17	18	28	107	112	105	99	116	111	105	99	93	12	12	16	20
39006	5	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
39012	627	19	11	8	16	15	33	42	36	39	88	83	75	75	67	5	2	3	10
39025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39028	830	25	18	16	22	25	67	70	63	65	97	97	82	81	72	7	4	4	15
39031	892	16	8	9	9	13	76	88	82	76	103	110	91	87	84	8	7	6	19
45001	1083	35	20	23	21	29	84	96	84	85	130	128	104	100	99	8	9	6	22
45002	1205	28	25	18	20	30	105	100	96	92	142	139	127	118	115	16	7	6	21
45008	1013	15	42	6	15	15	71	80	71	72	127	131	110	111	99	16	8	7	17
45009	937	22	49	18	20	21	68	84	77	73	108	109	84	79	79	15	8	8	15
45010	1058	22	52	20	21	27	116	117	111	103	100	94	71	75	80	12	13	4	20
Berwyn Ward 1 Precinct 1	812	20	10	7	11	21	78	85	76	74	83	83	68	67	68	12	11	12	26
Berwyn Ward 1 Precinct 5	906	28	13	8	13	18	96	107	98	98	86	87	69	64	69	9	9	6	28
Berwyn Ward 2 Precinct 1	608	13	9	9	10	14	52	59	49	51	67	66	63	64	60	7	4	2	9
Berwyn Ward 2 Precinct 4	1550	44	28	27	40	39	137	151	142	138	160	158	136	140	128	19	15	13	35
Berwyn Ward 3 Precinct 1	994	20	13	12	18	27	90	101	90	88	119	108	87	93	88	14	4	3	19
Berwyn Ward 3 Precinct 2	838	19	13	12	18	23	79	88	78	80	91	89	76	72	69	10	4	3	14
Berwyn Ward 3 Precinct 3	900	20	5	6	15	12	71	78	77	71	119	112	91	95	87	11	5	6	19
Berwyn Ward 3 Precinct 4	1040	27	12	16	26	22	87	111	99	101	108	108	89	91	85	19	9	5	25
Berwyn Ward 3 Precinct 5	1421	40	13	12	12	26	138	147	134	135	155	149	134	128	121	14	14	11	38
Berwyn Ward 4 Precinct 1	599	14	5	6	8	10	52	57	48	54	71	70	59	54	55	11	6	4	15
Berwyn Ward 4 Precinct 2	1047	17	8	10	18	21	81	85	84	74	133	135	113	116	107	19	9	8	9
Berwyn Ward 4 Precinct 3	1189	31	15	13	24	19	83	95	91	90	159	148	129	134	120	17	3	2	16
Berwyn Ward 4 Precinct 4	772	25	8	10	18	16	57	70	67	61	96	93	71	77	73	12	5	5	8
Berwyn Ward 5 Precinct 1	1589	45	21	20	35	29	107	130	123	107	205	209	170	175	158	26	9	6	14
Berwyn Ward 5 Precinct 2	963	24	8	7	14	14	73	82	76	74	129	131	108	97	96	6	7	4	13
Berwyn Ward 5 Precinct 3	770	26	17	15	28	24	51	65	63	55	90	98	66	70	66	18	5	7	6
Berwyn Ward 6 Precinct 1	525	14	3	7	8	13	35	39	41	33	68	63	59	57	53	11	5	4	12
Berwyn Ward 6 Precinct 3	662	14	5	5	16	16	48	58	49	49	84	83	69	67	69	11	4	7	8
Berwyn Ward 6 Precinct 4	842	18	10	12	15	14	72	80	79	71	103	100	83	81	72	11	4	7	10
Berwyn Ward 8 Precinct 2	867	23	13	15	20	13	64	72	61	67	103	114	86	95	88	6	1	6	20
Berwyn Ward 8 Precinct 3	747	22	9	10	13	18	48	53	51	54	95	94	86	89	80	6	6	3	10
Cicero 1	1341	28	16	8	27	15	48	78	66	57	214	216	169	175	164	24	9	12	15
Cicero 2	500	4	5	6	4	0	22	34	35	31	78	80	63	63	56	11	3	1	4
Cicero 3	851	24	8	13	20	15	38	46	55	40	134	119	100	103	99	16	4	9	8
Cicero 4	1031	24	12	5	24	9	49	65	66	60	152	153	123	123	118	26	2	11	9
Cicero 6	426	16	3	3	10	8	29	35	37	26	53	53	46	38	42	15	4	4	4
Cicero 7	597	15	10	3	18	7	26	42	36	29	86	92	68	72	68	18	1	3	3
Cicero 8	686	11	9	4	10	8	41	53	51	46	96	95	80	83	76	13	3	3	4
Cicero 9	1025	22	9	11	22	6	47	65	62	48	155	160	121	129	110	33	6	9	10
Cicero 10	1086	24	10	8	20	10	49	59	58	52	161	167	145	148	137	20	5	8	5
Cicero 12	854	18	8	10	16	15	58	71	62	53	115	114	95	96	91	15	5	5	7
Cicero 14	917	24	5	10	20	9	68	88	83	76	118	120	79	94	87	19	2	6	9
Cicero 15	983	16	3	6	12	10	61	70	72	64	139	142	117	119	111	17	6	4	14
Cicero 16	726	15	5	5	11	9	34	40	38	38	119	113	87	95	91	12	4	4	6
Cicero 17	1203	26	16	15	28	14	51	61	63	64	189	181	154	154	150	24	2	5	6
Cicero 18	639	15	4	7	13	6	30	42	41	31	101	97	72	81	73	16	2	4	4
Cicero 19	1335	35	14	18	26	26	96	111	106	99	166	182	135	126	137	30	7	12	9
Cicero 21	928	20	5	9	18	10	39	53	52	46	137	145	116	120	118	20	6	7	7
Cicero 22	824	27	14	11	14	18	48	58	50	47	113	114	90	91	85	15	9	10	10
Cicero 23	1292	29	9	8	25	16	68	85	91	73	191	181	147	156	147	32	12	8	14
Cicero 24	1113	29	8	11	26	16	48	74	68	63	159	167	132	144	129	23	6	5	5
Cicero 25	1059	29	8	14	14	9	41	54	52	49	165	164	134	142	135	18	8	12	11
Cicero 26	823	18	10	6	16	5	33	48	46	46	121	122	110	110	103	14	5	3	7
Cicero 27	1067	20	11	9	20	15	64	85	80	64	149	152	124	117	115	16	6	2	18
Cicero 28	1045	22	7	6	19	14	47	58	65	58	158	160	134	141	128	10	4	5	9
Cicero 29	1062	24	5	6	16	9	43	63	57	51	159	157	131	137	132	24	15	16	17
Cicero 30	966	26	7	7	23	9	42	53	57	38	148	148	114	124	120	29	3	5	13
Cicero 31	713	12	5	9	21	4	43	47	51	39	104	105	79	87	76	15	1	4	11
Cicero 32	740	27	5	6	13	6	38	50	50	47	108	108	84	83	85	13	5	3	9
Leyden 26	1291	36	22	15	15	44	179	184	171	174	87	89	69	68	63	14	15	10	36
Oak Park 33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proviso 3	745	14	11	7	9	20	116	107	99	102	49	52	47	38	39	9	4	5	17
Proviso 6	597	11	10	12	9	19	96	90	84	83	32	34	32	26	22	5	6	5	21
Proviso 7	15	0	0	0	0	1	1	1	1	1	2	2	2	2	2	0	0	0	0
Proviso 10	668	16	4	5	12	13	40	55	57	44	94	96	69	71	64	15	3	6	4
Proviso 11	627	14	8	7	17	8	47	54	51	47	79	81	63	65	63	11	2	3	7
Proviso 12	928	18	11	12	15	20	77	85	77	69	117	115	90	92	87	16	10	4	13
Proviso 13	811	17	8	9	11	10	61	79	70	70	104	101	78	78	76	21	5	5	8
Proviso 14	600	10	6	8	11	6	34	32	33	28	89	89	71	79	77	11	5	5	6
Proviso 15	735	16	4	6	13	7	47	65	64	60	107	94	74	76	66	17	8	2	9
Proviso 16	945	23	11	10	20	18	141	118	119	104	77	86	61	59	51	15	8	7	17
Proviso 25	582	15	8	14	11	19	74	78	72	75	40	36	30	29	29	7	6	7	32
Proviso 27	1357	19	10	13	11	31	168	176	157	160	110	125	100	98	95	12	17	13	42
Proviso 28	1157	31	17	13	21	33	187	173	163	158	67	71	58	47	47	12	11	8	40
Proviso 29	1711	57	16	23	22	43	186	203	184	187	148	147	132	132	129	17	17	16	52
Proviso 30	48	1	0	0	1	0	9	5	6	4	3	6	4	3	3	0	1	0	2
Proviso 32	1484	42	23	25	18	40	154	154	149	145	136	145	131	124	126	9	15	10	38
Proviso 54	1565	35	19	20	17	40	185	185	183	180	143	130	120	109	110	12	20	12	45
Proviso 63	1216	26	14	14	14	37	130	139	130	134	109	108	98	90	90	12	16	12	43
Proviso 71	1124	33	7	13	15	16	163	133	127	126	97	95	93	82	72	15	8	7	22
Proviso 75	1382	33	21	22	19	39	155	159	155	148	119	120	107	102	100	11	18	8	46
Proviso 78	272	3	2	0	3	2	16	19	18	13	41	41	37	30	31	6	3	3	4
Proviso 80	623	19	5	6	12	5	40	46	49	44	81	87	67	59	57	19	7	8	12
Proviso 85	683	15	4	4	5	11	100	107	96	99	48	47	48	34	39	7	3	1	15
Proviso 87	894	25	15	10	13	26	86	90	81	84	89	95	73	77	70	25	6	12	17
Proviso 88	528	11	6	9	17	8	26	34	34	31	77	76	51	61	54	19	4	5	5
Proviso 89	959	26	11	13	12	22	105	111	102	106	88	90	83	72	69	7	13	4	25
Proviso 90	2033	60	34	34	31	66	211	224	215	203	189	187	168	159	157	14	13	9	59
Proviso 95	677	20	9	8	12	12	91	83	86	85	52	53	44	37	38	15	6	3	23
Proviso 97	1544	41	25	24	19	44	208	196	186	193	106	118	96	92	91	16	19	13	57
Proviso 98	888	17	9	6	7	16	114	114	111	109	79	71	62	57	52	16	14	14	20
Proviso 100	1078	27	26	13	24	19	120	117	112	109	97	99	76	76	77	28	15	13	30
Proviso 102	688	14	5	11	5	12	82	85	79	79	65	64	53	48	49	11	9	4	13
River Forest 1	1836	39	22	23	25	39	284	274	268	268	100	107	92	83	83	12	19	13	85
Riverside 1	1711	46	16	17	21	41	222	230	213	217	135	126	110	100	95	21	18	13	70
Riverside 2	84	2	3	0	1	0	7	8	9	8	8	10	7	8	8	1	2	1	1
Riverside 3	992	24	13	8	7	28	127	136	127	122	78	74	59	56	51	16	14	10	42
Riverside 4	1950	53	24	26	23	50	241	254	237	239	153	158	141	124	120	16	14	14	63
Riverside 5	928	19	12	12	13	20	94	93	86	88	101	95	88	83	82	5	5	6	26
Riverside 6	911	22	9	9	7	17	87	95	89	89	101	98	92	83	82	8	6	6	11
Riverside 7	1041	31	8	10	9	18	124	124	116	114	94	97	76	81	76	14	14	12	23
Riverside 8	1670	43	22	25	22	47	201	210	192	197	139	131	122	114	106	12	16	8	63
Riverside 9	1212	27	13	15	10	29	167	168	156	153	86	89	81	73	69	8	6	5	57
Riverside 10	1571	40	25	22	24	49	225	227	214	227	106	91	79	79	80	10	10	7	56
Riverside 11	1679	40	24	30	19	47	194	198	182	186	145	140	122	123	117	11	20	14	67
Riverside 12	790	25	6	3	7	17	85	94	83	87	80	78	70	67	63	6	4	2	13
Riverside 13	1310	42	24	22	32	44	131	139	141	127	125	126	101	94	92	18	10	8	34
