Precinct	total_votes	votes|Will Guzzardi
01002	73	73
01007	198	198
01009	181	181
01013	131	131
01016	324	324
01017	31	31
01019	283	283
01023	405	405
01034	220	220
01041	148	148
01042	34	34
01043	144	144
26007	215	215
26034	167	167
26037	12	12
30001	214	214
30004	170	170
30007	202	202
30009	94	94
30017	159	159
30018	107	107
30019	43	43
30020	204	204
30023	197	197
30024	64	64
30025	166	166
30026	96	96
30027	125	125
30031	107	107
31001	93	93
31002	83	83
31005	134	134
31006	68	68
31007	243	243
31008	98	98
31009	101	101
31010	151	151
31011	90	90
31012	102	102
31013	127	127
31014	77	77
31017	86	86
31018	93	93
31020	75	75
31021	26	26
31023	125	125
31024	125	125
31026	126	126
31027	92	92
31028	83	83
31029	78	78
31030	81	81
31032	77	77
31033	92	92
31034	123	123
31035	137	137
31036	108	108
31037	110	110
31038	76	76
31040	131	131
31041	83	83
32003	151	151
32011	279	279
32012	213	213
32014	294	294
32020	298	298
32022	307	307
32026	169	169
32028	177	177
32043	16	16
35002	25	25
35010	378	378
35011	277	277
35015	289	289
35017	244	244
35025	233	233
35028	242	242
36009	1	1
36014	178	178
36016	167	167
36017	212	212
36018	137	137
36020	175	175
38023	222	222
38034	175	175
38035	196	196
38039	88	88
45008	187	187
45009	188	188
45010	197	197
45011	164	164
