Precinct	total_votes	votes|Paul Rosenfeld
47001	180	180
47002	275	275
47003	241	241
47004	321	321
47005	276	276
47006	289	289
47007	264	264
47008	278	278
47009	229	229
47010	368	368
47011	242	242
47012	296	296
47013	314	314
47014	253	253
47015	394	394
47016	284	284
47017	291	291
47018	266	266
47019	417	417
47020	267	267
47021	283	283
47022	314	314
47023	386	386
47024	299	299
47025	309	309
47026	349	349
47027	248	248
47028	269	269
47029	292	292
47030	327	327
47031	293	293
47032	347	347
47033	244	244
47034	321	321
47035	280	280
47036	325	325
47037	265	265
47038	269	269
47039	294	294
47040	320	320
47041	348	348
47042	282	282
47043	238	238
47044	202	202
47045	275	275
47046	271	271
47047	308	308
47048	28	28
