Precinct	total_votes	votes|Derrick G. Curtis
18001	184	184
18002	171	171
18003	145	145
18004	254	254
18005	132	132
18006	190	190
18007	179	179
18008	229	229
18009	224	224
18010	332	332
18011	168	168
18012	184	184
18013	238	238
18014	242	242
18015	218	218
18016	213	213
18017	219	219
18018	188	188
18019	192	192
18020	161	161
18021	265	265
18022	284	284
18023	191	191
18024	163	163
18025	176	176
18026	286	286
18027	180	180
18028	177	177
18029	217	217
18030	212	212
18031	241	241
18032	237	237
18033	174	174
18034	297	297
18035	269	269
18036	205	205
18037	275	275
18038	209	209
18039	149	149
18040	216	216
18041	270	270
18042	169	169
18043	137	137
18044	170	170
18045	175	175
18046	205	205
18047	141	141
18048	145	145
18049	118	118
18050	135	135
