Precinct	total_votes	votes|Eva Dina Delgado	votes|Nidia Carranza
01002	183	89	94
01017	4	2	2
01026	32	16	16
26024	1	1	0
26037	201	81	120
29015	1	0	1
29023	24	14	10
29024	23	15	8
29029	42	12	30
29030	110	65	45
29031	83	49	34
29036	182	118	64
29038	216	89	127
29039	153	82	71
30002	194	96	98
30005	159	82	77
30006	206	102	104
30009	52	32	20
30010	230	140	90
30011	193	81	112
30012	173	77	96
30013	197	102	95
30014	151	84	67
30016	108	53	55
30019	154	74	80
30021	158	68	90
30029	112	61	51
30030	95	55	40
31003	136	73	63
31004	117	55	62
31014	16	3	13
31015	134	60	74
31016	179	77	102
31019	139	79	60
31021	71	44	27
31022	113	66	47
31025	137	68	69
31031	103	50	53
31039	178	69	109
35002	304	128	176
35003	73	35	38
35007	314	121	193
35008	273	131	142
35014	199	113	86
35018	173	60	113
35019	130	62	68
35021	25	18	7
36001	183	118	65
36002	209	105	104
36003	169	94	75
36004	167	99	68
36005	133	68	65
36006	150	85	65
36007	259	161	98
36008	146	75	71
36009	179	78	101
36010	219	119	100
36011	126	55	71
36012	90	57	33
36013	121	63	58
36015	222	125	97
36018	55	27	28
36019	266	148	118
36021	166	87	79
36022	136	69	67
36023	129	55	74
36024	230	142	88
36025	203	75	128
36026	168	85	83
36027	179	97	82
36028	191	106	85
36029	238	133	105
36030	198	121	77
37022	87	58	29
37026	0	0	0
38004	220	125	95
38008	183	106	77
38010	176	87	89
38016	199	130	69
38021	27	17	10
38037	213	98	115
38039	183	107	76
Leyden 28	100	45	55
Leyden 34	53	30	23
