Precinct	total_votes	votes|Michael J. Zalewski
13026	0	0
13045	1	1
Berwyn Ward 3 Precinct 1	124	124
Berwyn Ward 3 Precinct 3	402	402
Berwyn Ward 5 Precinct 2	500	500
Berwyn Ward 6 Precinct 3	531	531
Berwyn Ward 7 Precinct 3	613	613
Berwyn Ward 8 Precinct 2	532	532
Cicero 1	676	676
Cicero 2	304	304
Cicero 3	386	386
Cicero 4	479	479
Cicero 8	279	279
Cicero 9	559	559
Cicero 15	563	563
Cicero 16	398	398
Cicero 17	628	628
Cicero 18	373	373
Cicero 23	697	697
Cicero 24	626	626
Cicero 27	362	362
Cicero 28	546	546
Cicero 30	454	454
Cicero 31	396	396
Lyons 4	820	820
Lyons 6	374	374
Lyons 7	571	571
Lyons 8	311	311
Lyons 10	494	494
Lyons 25	217	217
Lyons 29	481	481
Lyons 33	198	198
Lyons 34	250	250
Lyons 35	421	421
Lyons 48	512	512
Lyons 51	437	437
Lyons 58	452	452
Lyons 65	676	676
Lyons 67	573	573
Lyons 68	442	442
Lyons 71	286	286
Lyons 75	378	378
Lyons 76	55	55
Proviso 29	738	738
Proviso 75	462	462
Proviso 89	426	426
Proviso 90	921	921
Riverside 1	322	322
Riverside 8	697	697
Riverside 9	492	492
Riverside 10	672	672
Riverside 11	191	191
Stickney 4	594	594
Stickney 6	749	749
Stickney 7	350	350
Stickney 8	538	538
Stickney 9	225	225
Stickney 12	246	246
Stickney 13	486	486
Stickney 18	331	331
