Precinct	total_votes	votes|Robin Kelly	votes|Theresa J. Raborn
Rich 41	477	434	43
Rich 42	652	631	21
Rich 43	775	746	29
Rich 44	546	527	19
Rich 45	908	818	90
Rich 46	985	950	35
Rich 47	1,093	1,008	85
Rich 48	703	682	21
Rich 49	739	624	115
Rich 50	432	230	202
Rich 51	648	604	44
Thornton 1	344	321	23
Thornton 2	302	268	34
Thornton 3	637	576	61
Thornton 4	693	677	16
Thornton 5	489	427	62
Thornton 6	737	705	32
Thornton 7	509	497	12
Thornton 8	652	623	29
Thornton 9	284	274	10
Thornton 10	616	561	55
Thornton 11	341	312	29
Thornton 12	531	481	50
Thornton 13	594	462	132
Thornton 14	639	523	116
Thornton 15	565	533	32
Thornton 16	656	451	205
Thornton 17	785	637	148
Thornton 18	1,001	672	329
Thornton 19	809	639	170
Thornton 20	499	300	199
Thornton 21	861	757	104
Thornton 22	528	515	13
Thornton 23	558	496	62
Thornton 24	773	585	188
Thornton 25	647	476	171
Thornton 26	565	435	130
Thornton 27	771	702	69
Thornton 28	436	384	52
Thornton 29	304	300	4
Thornton 30	366	348	18
Thornton 32	445	428	17
Thornton 33	560	540	20
Thornton 34	835	795	40
Thornton 35	878	815	63
Thornton 36	274	264	10
Thornton 37	731	575	156
Thornton 38	868	802	66
Thornton 39	411	391	20
Thornton 40	407	395	12
Thornton 41	387	351	36
Thornton 42	368	353	15
Thornton 43	569	380	189
Thornton 44	416	399	17
Thornton 45	508	498	10
Thornton 46	630	609	21
Thornton 47	516	392	124
Thornton 48	560	539	21
Thornton 49	278	265	13
Thornton 50	509	428	81
Thornton 51	554	376	178
Thornton 52	582	562	20
Thornton 53	411	394	17
Thornton 54	880	810	70
Thornton 55	451	417	34
Thornton 56	579	490	89
Thornton 57	456	282	174
Thornton 58	688	602	86
Thornton 59	406	375	31
Thornton 60	364	347	17
Thornton 61	396	355	41
Thornton 62	236	171	65
Thornton 63	370	306	64
Thornton 64	464	447	17
Thornton 65	863	630	233
Thornton 66	871	793	78
Thornton 67	820	628	192
Thornton 68	692	511	181
Thornton 69	404	390	14
Thornton 70	317	299	18
Thornton 71	304	294	10
Thornton 72	583	565	18
Thornton 73	886	805	81
Thornton 74	638	611	27
Thornton 75	533	514	19
Thornton 76	697	639	58
Thornton 77	906	877	29
Thornton 78	619	602	17
Thornton 79	606	532	74
Thornton 80	564	517	47
Thornton 81	541	502	39
Thornton 82	584	333	251
Thornton 83	777	745	32
Thornton 84	755	728	27
Thornton 85	474	453	21
Thornton 86	506	482	24
Thornton 87	796	778	18
Thornton 88	582	560	22
Thornton 89	799	754	45
Thornton 90	613	562	51
Thornton 91	575	520	55
Thornton 92	722	647	75
Thornton 93	400	381	19
Thornton 94	685	639	46
Thornton 95	367	360	7
Thornton 96	458	429	29
Thornton 98	229	210	19
Thornton 99	513	459	54
Thornton 100	358	333	25
Thornton 101	493	474	19
Thornton 102	344	323	21
Thornton 103	325	312	13
Thornton 104	219	210	9
Thornton 105	508	488	20
Thornton 106	366	351	15
Thornton 107	759	727	32
Thornton 108	337	306	31
Thornton 109	384	355	29
Thornton 110	348	336	12
Thornton 111	383	365	18
Thornton 112	330	294	36
Thornton 113	284	274	10
Thornton 114	593	459	134
Thornton 115	574	549	25
Thornton 116	665	587	78
Thornton 117	722	533	189
Thornton 118	581	478	103
Thornton 119	564	526	38
Thornton 120	939	865	74
Thornton 121	433	411	22
Thornton 122	855	752	103
Thornton 123	413	380	33
