Precinct	total_votes	votes|Michael G. Grace	votes|Mike Cashman	votes|Frank Avila	votes|Heather Boyle	votes|M Cameron ''Cam'' Davis	votes|Kimberly Neely Dubuclet	votes|Eira L. Corral Sepúlveda	votes|Patricia Theresa Flynn	votes|Shundar Lin	votes|Deyon Dean
01001	645	22	17	70	48	119	144	131	53	28	13
01002	574	34	24	88	61	82	109	96	51	20	9
01003	711	23	26	59	75	126	156	135	54	41	16
01004	606	28	22	51	69	101	127	115	49	33	11
01005	612	15	17	50	63	122	147	119	47	21	11
01006	528	42	17	61	68	70	87	80	52	35	16
01007	496	27	13	59	54	83	102	72	51	30	5
01008	507	42	18	54	45	90	98	71	43	30	16
01009	441	23	23	59	43	64	83	80	37	20	9
01010	639	36	21	53	78	103	131	100	61	39	17
01011	696	28	19	52	80	128	164	125	49	36	15
01012	770	32	19	79	96	128	161	122	79	43	11
01013	302	17	7	30	32	59	59	58	21	17	2
01014	638	29	20	55	70	110	134	120	58	29	13
01015	470	19	17	49	53	74	94	78	56	21	9
01016	818	34	22	91	77	147	175	155	60	48	9
01017	596	28	13	59	43	118	123	114	46	32	20
01018	577	24	18	65	51	100	124	101	49	31	14
01019	731	40	16	66	72	130	158	131	55	45	18
01020	566	16	15	64	50	99	126	106	44	32	14
01021	732	42	28	60	76	128	160	130	61	38	9
01022	402	12	8	57	41	72	82	69	42	16	3
01023	1004	33	21	90	81	199	213	215	73	56	23
01024	602	33	24	97	61	85	104	113	49	24	12
01025	572	24	22	66	61	73	131	93	44	44	14
01026	402	25	16	67	39	54	63	72	36	18	12
01027	674	29	28	61	51	123	146	137	42	37	20
01028	173	23	8	29	27	18	19	14	17	10	8
01029	698	25	27	70	75	122	156	118	62	39	4
01030	774	27	24	92	66	127	162	157	52	51	16
01031	474	35	19	52	42	70	97	81	39	27	12
01032	569	29	12	57	60	86	122	98	70	20	15
01033	683	36	29	63	74	113	139	113	64	40	12
01034	553	21	12	58	51	101	124	104	41	25	16
01035	723	31	28	64	90	115	148	116	68	48	15
01036	672	33	24	57	74	122	138	112	50	44	18
01037	506	29	32	53	53	74	98	86	37	29	15
01038	470	25	19	46	51	79	88	78	43	33	8
01039	489	22	12	51	65	71	104	78	44	32	10
01040	598	52	30	85	56	86	102	80	62	26	19
01041	405	23	9	38	35	70	88	70	33	24	15
01042	184	6	5	20	22	35	30	34	17	10	5
01043	407	21	11	50	37	67	88	67	35	23	8
01044	541	21	18	50	58	91	121	117	31	21	13
02001	616	32	23	56	81	99	114	101	57	33	20
02002	417	21	15	39	45	76	90	63	43	20	5
02003	633	27	25	48	67	113	146	110	48	40	9
02004	574	26	13	68	61	97	126	103	42	27	11
02005	678	25	27	80	76	114	145	110	51	39	11
02006	594	34	22	58	66	88	139	89	47	42	9
02007	424	14	14	30	45	78	94	82	43	14	10
02008	625	34	32	57	72	97	129	102	59	31	12
02009	344	15	12	38	37	59	71	50	33	18	11
02010	378	22	23	21	34	70	87	70	37	11	3
02011	568	37	28	43	63	103	127	90	47	19	11
02012	570	35	24	50	59	101	128	81	62	17	13
02013	604	33	28	34	63	109	141	96	61	25	14
