Precinct	total_votes	votes|Kelly M. Burke
17018	6	6
18009	131	131
18019	5	5
18026	66	66
18032	199	199
18034	262	262
19003	162	162
19005	328	328
19009	173	173
19012	193	193
19016	29	29
19018	59	59
19024	171	171
19030	14	14
19033	68	68
19055	163	163
19056	210	210
21003	0	0
21007	206	206
21009	221	221
21013	161	161
21015	36	36
21026	10	10
21029	139	139
Lyons 23	8	8
Lyons 46	140	140
Palos 2	138	138
Palos 7	177	177
Palos 10	190	190
Palos 11	174	174
Palos 12	152	152
Palos 13	81	81
Palos 14	119	119
Palos 21	120	120
Palos 22	28	28
Palos 26	91	91
Palos 30	54	54
Palos 32	87	87
Palos 34	128	128
Palos 35	238	238
Palos 36	175	175
Palos 37	191	191
Palos 39	206	206
Worth 3	246	246
Worth 4	279	279
Worth 5	258	258
Worth 6	173	173
Worth 10	321	321
Worth 11	251	251
Worth 13	289	289
Worth 25	201	201
Worth 26	28	28
Worth 27	162	162
Worth 28	162	162
Worth 29	202	202
Worth 31	352	352
Worth 32	199	199
Worth 33	151	151
Worth 35	250	250
Worth 36	257	257
Worth 37	188	188
Worth 38	326	326
Worth 39	260	260
Worth 40	207	207
Worth 41	162	162
Worth 45	222	222
Worth 46	253	253
Worth 48	146	146
Worth 49	123	123
Worth 52	166	166
Worth 54	271	271
Worth 56	201	201
Worth 57	321	321
Worth 58	116	116
Worth 60	143	143
Worth 61	156	156
Worth 62	147	147
Worth 63	211	211
Worth 69	327	327
Worth 70	230	230
Worth 71	107	107
Worth 72	288	288
Worth 75	281	281
Worth 77	257	257
Worth 78	233	233
Worth 80	285	285
Worth 83	19	19
Worth 84	233	233
Worth 85	225	225
Worth 90	219	219
Worth 91	79	79
Worth 92	244	244
Worth 93	135	135
Worth 96	303	303
Worth 98	195	195
Worth 100	176	176
