Precinct	total_votes	votes|Bobby L. Rush	votes|Ameena Nuur Matthews	votes|Sarah Gad	votes|Robert Emmons, Jr.
17036	163	151	6	3	3
17037	209	187	2	10	10
17038	217	185	8	15	9
17039	234	216	7	8	3
17040	245	221	8	7	9
17041	286	249	15	9	13
18001	208	159	18	16	15
18002	186	103	17	41	25
18003	165	97	24	28	16
18004	283	238	18	9	18
18005	151	137	10	4	0
18006	209	125	28	24	32
18007	206	157	17	17	15
18008	257	210	11	13	23
18009	253	205	22	6	20
18010	368	312	19	12	25
18011	197	145	14	28	10
18012	199	170	11	7	11
18013	265	221	13	15	16
18014	277	235	15	13	14
18015	12	3	2	7	0
18016	235	195	16	8	16
18017	243	191	18	19	15
18018	228	198	8	6	16
18019	217	201	12	2	2
18020	187	162	13	4	8
18021	313	246	29	15	23
18022	327	289	21	7	10
18023	222	172	20	11	19
18026	331	273	23	13	22
18027	208	167	15	12	14
18028	200	112	31	29	28
18029	250	183	22	22	23
18031	260	203	19	22	16
18032	268	225	17	7	19
18033	195	165	10	11	9
18034	322	274	15	7	26
18035	309	248	16	18	27
18036	222	150	27	28	17
18037	309	254	28	9	18
18038	238	210	15	3	10
18039	168	131	9	16	12
18041	316	266	19	14	17
18042	188	143	13	17	15
18044	185	95	20	44	26
18045	190	121	22	29	18
18047	166	139	8	9	10
18048	161	143	7	6	5
18049	138	116	5	8	9
18050	161	133	11	12	5
19002	360	247	33	28	52
19005	241	157	27	22	35
19010	38	18	6	7	7
19011	18	10	2	6	0
19013	367	283	32	9	43
19014	291	164	24	32	71
19020	313	221	24	30	38
19025	78	37	12	12	17
19027	298	184	31	34	49
19028	337	269	18	17	33
19031	271	119	19	48	85
19036	385	266	47	28	44
19037	333	179	47	24	83
19038	274	192	19	30	33
19039	97	79	4	7	7
19040	314	169	35	46	64
19042	244	152	18	32	42
19043	413	332	28	13	40
19047	447	323	30	40	54
19048	346	278	23	9	36
19049	364	266	28	19	51
19057	31	17	1	4	9
20001	249	199	13	20	17
20003	202	166	12	15	9
20005	268	205	30	13	20
20007	223	183	13	18	9
20008	222	199	9	7	7
20009	382	276	42	33	31
20010	156	133	12	8	3
20011	203	161	12	15	15
20012	169	141	14	4	10
20013	247	224	6	9	8
20014	141	111	6	13	11
20016	303	208	32	33	30
20018	150	129	8	4	9
20019	226	183	16	17	10
20022	306	227	28	14	37
20023	209	182	8	8	11
20024	288	170	27	45	46
20026	249	176	21	17	35
20027	93	79	4	1	9
20028	124	108	8	3	5
20029	264	231	10	8	15
20030	41	37	3	0	1
20031	113	95	9	6	3
20033	145	118	8	9	10
20034	367	174	34	57	102
20035	146	119	10	11	6
20037	54	49	2	3	0
21001	267	229	14	12	12
21002	186	154	10	13	9
21003	268	227	17	8	16
21004	222	195	10	7	10
21005	292	246	13	11	22
21006	225	195	10	11	9
21007	269	233	11	6	19
21008	255	230	7	8	10
21009	286	240	19	9	18
21010	213	188	4	5	16
21011	239	196	9	14	20
21012	220	186	17	6	11
21013	230	201	17	4	8
21014	271	241	10	8	12
21015	221	197	9	6	9
21016	218	178	16	5	19
21017	194	168	8	8	10
21018	285	251	18	4	12
21019	255	217	13	6	19
21020	212	182	18	5	7
21021	198	177	5	3	13
21022	212	190	13	4	5
21023	218	187	14	6	11
21024	262	225	15	5	17
21025	238	197	16	8	17
21026	217	194	12	4	7
21027	244	211	10	8	15
21028	287	254	16	8	9
21029	314	275	16	10	13
21030	183	159	8	10	6
21031	193	164	12	6	11
21032	227	204	4	7	12
21033	229	197	11	5	16
21034	216	188	9	5	14
21035	297	253	12	11	21
21036	255	219	19	5	12
21037	170	143	9	6	12
21038	216	184	11	8	13
21039	189	166	9	9	5
21040	241	208	9	10	14
21041	259	227	12	8	12
21042	284	237	17	13	17
21043	212	178	10	9	15
21044	269	226	19	10	14
21045	210	184	7	6	13
21046	277	230	20	10	17
21047	207	183	11	6	7
21048	232	202	12	6	12
21049	286	235	15	9	27
21050	181	160	9	4	8
21051	252	214	16	6	16
21052	231	194	16	4	17
21053	206	170	16	8	12
21054	212	191	7	8	6
34001	279	231	17	9	22
34002	194	160	8	6	20
34003	250	215	11	8	16
34005	225	189	13	6	17
34006	296	255	13	11	17
34007	298	251	11	7	29
34008	192	174	6	1	11
34009	146	126	2	7	11
34010	252	213	20	5	14
34011	186	145	16	9	16
34012	276	236	10	8	22
34013	253	202	12	16	23
34014	194	163	8	12	11
34015	192	169	6	3	14
34016	192	159	7	6	20
34017	318	265	11	9	33
34019	252	216	11	7	18
34020	323	287	16	7	13
34021	308	256	20	8	24
34022	140	118	9	5	8
34025	381	311	27	8	35
34026	282	245	13	6	18
34029	205	178	6	6	15
34030	107	93	6	2	6
34031	175	145	13	6	11
34032	224	189	12	9	14
34033	170	153	7	3	7
34034	301	258	11	13	19
34035	277	218	18	15	26
34040	263	205	18	6	34
34041	33	25	5	0	3
34042	260	211	17	5	27
34043	240	216	6	5	13
34044	261	226	11	11	13
34045	215	191	9	3	12
34046	180	151	19	3	7
34047	249	219	14	9	7
34048	290	250	13	2	25
34049	241	191	14	13	23
34050	186	157	7	4	18
34051	296	247	16	3	30
34052	206	168	10	10	18
Bremen 1	300	256	15	6	23
Bremen 2	207	96	28	56	27
Bremen 3	142	78	18	33	13
Bremen 4	177	104	15	34	24
Bremen 5	118	76	10	25	7
Bremen 6	143	93	17	24	9
Bremen 9	144	75	15	33	21
Bremen 10	184	83	18	52	31
Bremen 11	200	110	18	48	24
Bremen 12	175	149	9	6	11
Bremen 13	192	133	6	31	22
Bremen 14	136	77	23	19	17
Bremen 15	156	89	21	35	11
Bremen 16	191	109	20	40	22
Bremen 17	219	196	7	6	10
Bremen 18	206	106	23	46	31
Bremen 19	91	82	2	1	6
Bremen 20	121	65	12	26	18
Bremen 21	244	177	21	32	14
Bremen 22	128	64	15	33	16
Bremen 23	73	65	3	2	3
Bremen 24	140	60	20	35	25
Bremen 25	223	122	21	58	22
Bremen 27	187	95	28	38	26
Bremen 28	92	55	6	19	12
Bremen 30	138	82	13	24	19
Bremen 33	143	71	18	28	26
Bremen 34	180	83	17	55	25
Bremen 36	105	50	12	27	16
Bremen 37	173	133	12	14	14
Bremen 40	112	96	10	3	3
Bremen 41	96	55	6	29	6
Bremen 42	239	104	25	72	38
Bremen 43	151	102	13	27	9
Bremen 45	46	37	3	2	4
Bremen 46	148	60	22	38	28
Bremen 50	190	82	16	50	42
Bremen 52	123	69	13	21	20
Bremen 53	103	52	7	26	18
Bremen 54	119	56	11	34	18
Bremen 55	170	106	17	30	17
Bremen 57	160	86	17	34	23
Bremen 58	206	94	29	58	25
Bremen 59	171	90	14	43	24
Bremen 60	144	83	16	29	16
Bremen 61	127	64	15	35	13
Bremen 62	178	97	29	28	24
Bremen 64	229	118	23	55	33
Bremen 65	114	96	12	0	6
Bremen 67	184	78	25	53	28
Bremen 68	97	52	9	25	11
Bremen 69	206	128	28	28	22
Bremen 72	110	59	15	20	16
Bremen 73	188	123	23	24	18
Bremen 74	195	117	20	32	26
Bremen 76	121	54	16	35	16
Bremen 77	258	131	29	63	35
Bremen 79	148	65	15	39	29
Calumet 1	229	167	14	24	24
Calumet 2	195	116	26	31	22
Calumet 3	271	243	8	6	14
Calumet 5	241	211	10	5	15
Calumet 6	386	285	40	28	33
Calumet 7	276	195	29	29	23
Calumet 8	157	113	13	12	19
Calumet 9	238	207	13	8	10
Calumet 10	366	318	20	9	19
Calumet 11	434	382	25	10	17
Calumet 12	214	190	11	5	8
Orland 3	109	63	20	12	14
Orland 5	131	63	16	35	17
Orland 6	110	43	18	24	25
Orland 7	97	36	15	30	16
Orland 10	186	80	16	60	30
Orland 11	130	65	14	33	18
Orland 13	285	143	30	76	36
Orland 14	153	83	16	29	25
Orland 17	116	67	5	27	17
