Precinct	total_votes	votes|Delia C. Ramirez
01001	601	601
01003	740	740
01004	716	716
01005	639	639
01006	529	529
01008	85	85
01010	763	763
01011	535	535
01014	592	592
01015	534	534
01017	438	438
01018	580	580
01020	486	486
01021	771	771
01022	408	408
01024	529	529
01025	586	586
01026	340	340
01027	652	652
01029	766	766
01030	666	666
01031	537	537
01032	416	416
01033	593	593
01035	729	729
01036	692	692
01037	454	454
01038	564	564
01039	509	509
01040	539	539
01044	562	562
02001	199	199
02003	700	700
02004	624	624
02005	731	731
02014	598	598
02015	82	82
02016	588	588
02017	105	105
02021	651	651
26001	425	425
26002	322	322
26003	490	490
26004	207	207
26005	349	349
26006	339	339
26008	232	232
26009	334	334
26010	390	390
26011	351	351
26012	400	400
26013	224	224
26014	314	314
26015	249	249
26016	211	211
26018	276	276
26019	128	128
26020	340	340
26021	482	482
26022	218	218
26023	291	291
26024	308	308
26025	312	312
26026	283	283
26027	429	429
26028	98	98
26029	207	207
26030	330	330
26031	164	164
26032	475	475
26033	466	466
26034	19	19
26035	339	339
26036	397	397
26038	191	191
26039	464	464
26040	241	241
26041	429	429
26042	314	314
26043	251	251
26044	212	212
26045	185	185
26047	275	275
26048	415	415
26049	233	233
27005	2	2
27007	686	686
27013	181	181
27024	35	35
27027	23	23
27040	81	81
27043	6	6
31004	129	129
31016	177	177
35003	344	344
35012	365	365
35013	353	353
35016	291	291
35019	124	124
35021	456	456
36012	143	143
37012	112	112
37022	5	5
