Precinct	total_votes	votes|Brandon Johnson (Warren)	votes|Jamie Brown (Warren)	votes|Frederick ''Fritz'' Kaegi (Warren)	votes|Mony Ruiz Velasco (Warren)	votes|Marlon D. Harris (Warren)	votes|Harlene Ellin (Warren)	votes|Mihir Garud (Warren)	votes|Benetta Mansfield (Warren)	votes|Mary Ann Abbott (Yang)	votes|David Hernandez (Yang)	votes|Elizabeth Henricks (Yang)	votes|Steven Dyme (Yang)	votes|Yvonne O'Connor (Yang)	votes|Peter Wojda IV (Yang)	votes|Rudyard ''Rudy'' Urian (Yang)	votes|Marty Castro (Buttigieg)	votes|Eric Davis (Buttigieg)	votes|Thomas Gary (Buttigieg)	votes|Marla Izbicky (Buttigieg)	votes|Amalia Mahoney (Buttigieg)	votes|Cristal Thomas Gary (Buttigieg)	votes|Melissa Conyears-Ervin (Biden)	votes|Pat Quinn (Biden)	votes|Emma M. Mitts (Biden)	votes|Brendan Reilly (Biden)	votes|Patricia Dowell (Biden)	votes|Rory Hoskins (Biden)	votes|Barbara McGowan (Biden)	votes|Marcelino Garcia (Biden)	votes|Claudia Moreno-Nunez (Sanders)	votes|Julie Lehrman (Sanders)	votes|Martese Luzette Chism (Sanders)	votes|Ojus Khanolkar (Sanders)	votes|Dominique Coronel (Sanders)	votes|Miguel Bautista (Sanders)	votes|Ronald Lawless (Sanders)	votes|Tim Thomas (Sanders)	votes|Barton Moy (Klobuchar)	votes|Gail M. Silver (Klobuchar)	votes|Joan L. Long (Klobuchar)	votes|Addison Woodward (Klobuchar)	votes|Ann Henstrand (Klobuchar)	votes|Jennifer Vincent (Klobuchar)	votes|Markayle Tolliver (Klobuchar)	votes|Thomas A. (Tom) Ciavarella (Klobuchar)
01012	2955	20	30	26	37	24	31	30	34	9	9	7	5	3	6	6	10	3	4	10	7	6	73	86	98	89	94	88	87	85	254	245	236	241	241	239	229	226	4	3	1	4	5	5	2	3
01014	485	3	5	4	5	5	3	6	3	0	1	0	0	0	0	0	1	1	0	0	1	4	10	14	14	14	14	13	12	12	45	44	43	41	41	43	40	39	0	1	0	1	0	2	0	0
01015	432	6	6	6	8	7	9	10	9	1	2	2	2	4	3	4	2	3	2	3	2	3	10	11	14	14	14	13	14	13	33	31	30	30	28	29	26	25	1	1	0	1	0	0	0	0
01032	969	16	17	20	21	16	18	18	18	1	2	1	0	1	2	0	0	0	0	2	1	3	37	43	46	44	47	43	45	39	68	63	58	58	59	54	50	50	3	2	1	1	0	1	0	0
02002	1538	16	10	7	11	8	9	6	6	10	7	4	2	4	2	3	11	10	8	13	10	7	111	132	150	150	147	144	145	139	30	28	23	23	25	29	26	25	7	8	5	7	6	7	3	4
02009	1451	11	6	8	4	2	9	5	8	9	4	7	3	4	2	0	8	5	4	8	7	6	99	112	122	119	119	116	122	113	50	50	42	43	44	41	39	38	6	12	9	10	9	7	5	4
02010	1337	3	3	7	4	5	5	3	6	4	4	6	4	3	2	2	7	5	7	4	3	3	104	116	140	143	140	137	143	133	24	19	21	19	18	19	19	18	4	10	5	5	4	2	3	1
02011	2084	10	7	9	6	6	7	8	8	8	7	12	5	5	3	3	13	6	9	10	13	10	184	192	212	209	210	205	211	204	33	33	33	33	30	31	26	25	6	8	7	6	7	5	4	5
02012	1229	13	11	9	5	11	4	7	7	8	9	6	8	6	2	4	5	8	4	8	4	4	92	113	102	109	111	105	109	93	35	27	28	29	34	31	27	21	2	7	2	1	1	1	1	5
02013	2265	13	13	14	8	8	9	11	13	6	3	4	2	4	2	3	14	12	11	15	8	12	171	195	231	231	231	222	225	216	47	44	42	38	41	37	38	35	3	8	6	7	6	4	1	1
02014	2314	25	23	23	29	25	28	24	29	7	2	4	2	4	3	4	7	5	4	8	10	6	66	81	81	72	82	68	73	67	190	186	177	175	181	177	169	169	5	5	3	3	3	5	2	2
02017	2790	26	28	27	23	15	22	23	24	9	9	11	7	6	3	4	8	9	6	13	11	5	109	125	134	123	131	126	128	123	195	185	183	187	188	189	173	169	4	5	4	1	7	6	4	2
02018	2116	16	16	13	14	9	16	11	16	7	4	4	1	3	2	2	3	2	6	6	5	8	164	176	199	197	192	190	189	182	60	59	55	54	56	55	48	51	3	4	3	6	2	5	1	1
02019	1035	11	9	10	7	4	6	6	8	2	1	1	1	2	1	3	6	5	5	8	7	5	63	73	90	93	89	85	89	88	32	31	33	30	31	31	27	26	1	2	1	1	4	4	1	2
02020	688	11	11	7	7	7	7	7	9	0	3	2	2	2	2	0	5	8	5	5	7	5	38	42	46	47	46	49	47	48	30	23	24	24	22	26	25	23	5	4	1	2	1	3	0	0
02021	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	9	9	9	9	10	8	15	14	13	13	13	14	12	12	0	1	0	1	0	0	0	0
02023	1613	2	1	2	1	0	1	0	1	4	5	4	7	2	2	2	8	7	4	6	4	4	146	166	180	180	179	174	178	174	17	15	14	14	13	15	14	12	5	8	7	6	9	6	6	8
02027	1636	13	7	5	5	6	4	3	4	6	4	6	6	2	5	5	16	11	10	15	8	7	110	132	152	148	143	136	138	138	48	44	43	42	44	41	43	43	3	8	9	3	6	8	3	3
02028	781	8	8	8	5	5	8	7	6	4	2	2	3	1	1	2	1	2	1	2	3	1	43	44	51	52	53	48	51	48	41	41	35	33	36	35	31	30	2	4	5	4	6	4	2	2
02029	2176	18	19	16	13	15	20	15	20	5	4	5	2	4	2	1	13	12	13	13	18	13	126	137	165	166	172	162	165	156	91	84	83	79	79	82	77	73	3	5	7	7	5	4	4	3
02032	1458	19	12	13	13	14	15	13	13	8	6	6	5	2	2	1	9	8	8	7	5	5	81	97	102	106	99	93	101	91	67	65	62	61	59	59	56	55	3	4	1	2	4	4	1	1
02034	1774	12	10	10	8	9	10	11	12	5	3	7	3	4	2	2	18	12	17	16	14	10	127	142	172	177	168	168	172	162	33	33	31	31	30	29	24	24	8	10	7	8	7	7	6	3
02035	2204	16	17	15	16	16	15	15	19	11	6	9	5	4	3	5	17	16	15	17	16	12	149	171	187	189	188	183	188	181	66	59	50	51	57	52	51	49	7	13	10	10	11	7	4	6
02036	2013	19	20	12	13	14	19	16	17	7	5	4	6	1	0	0	12	11	12	10	7	6	127	138	162	163	166	155	157	156	76	72	66	64	67	68	60	59	3	8	7	8	6	7	3	4
02038	1378	5	7	7	7	5	8	7	6	3	5	6	8	5	4	4	13	9	13	13	9	7	96	106	121	123	120	115	121	111	41	38	36	34	34	34	28	28	5	6	6	5	6	6	4	3
02039	1093	22	16	12	11	10	9	7	12	10	4	6	2	3	4	4	4	9	6	10	9	9	65	74	73	76	74	70	78	67	46	48	38	38	36	37	36	42	0	3	0	2	2	2	3	4
02040	1800	17	16	12	15	11	15	12	9	2	6	6	2	3	2	2	7	7	6	7	5	5	108	114	146	146	149	143	143	140	71	69	68	69	66	67	62	61	0	1	1	1	3	3	1	1
02041	1735	9	16	11	12	9	15	11	12	13	7	10	3	8	2	2	8	9	9	9	9	5	112	126	150	142	142	138	142	138	61	58	56	50	51	49	47	43	4	8	6	4	6	5	2	6
02042	1951	20	16	17	19	14	18	15	16	5	8	8	5	7	4	4	7	5	4	6	6	2	113	122	151	151	146	141	145	141	83	81	75	75	75	72	69	66	2	4	6	6	6	7	3	5
02043	2235	10	12	7	9	8	7	4	5	7	7	5	6	3	1	5	10	11	10	9	9	6	158	176	215	216	213	210	216	215	60	60	53	52	54	55	48	45	7	8	7	2	4	4	2	4
02045	2054	27	22	23	24	19	24	21	22	11	8	6	3	6	4	2	11	13	8	12	11	7	110	125	150	148	152	141	150	141	89	86	72	71	76	73	63	65	4	9	12	6	9	10	3	5
02046	1264	18	15	12	13	11	12	8	16	10	6	6	2	1	1	0	8	8	7	10	7	4	75	84	83	85	85	81	83	79	62	57	52	52	49	51	48	44	2	5	4	2	3	2	1	0
03001	2249	50	40	25	21	31	25	18	23	17	12	10	7	5	0	3	4	7	5	6	4	2	103	127	171	164	197	159	175	150	100	93	79	77	91	79	76	74	1	3	6	2	3	2	1	1
03002	2519	71	61	36	34	48	28	30	32	19	16	11	12	13	2	10	9	15	8	7	5	11	136	194	228	208	241	203	213	189	66	61	43	44	52	47	52	40	2	3	2	2	2	4	1	8
03003	1220	23	15	15	12	18	9	9	15	10	12	8	6	5	3	3	2	4	3	1	1	1	49	65	102	93	108	89	91	82	56	51	41	48	44	44	37	38	0	2	1	2	1	0	0	1
03004	604	7	10	5	8	9	4	6	5	2	2	6	3	2	1	0	1	2	1	1	1	1	42	43	53	53	56	53	54	50	18	17	16	12	19	13	12	12	0	2	0	0	0	0	0	2
03005	1145	20	20	8	6	10	11	3	7	12	9	8	1	4	2	1	5	4	1	1	1	1	57	75	85	83	96	83	87	76	53	48	43	42	46	45	45	39	0	0	1	2	2	0	0	2
03006	2794	35	32	37	32	30	32	26	31	10	9	10	6	13	4	5	19	19	15	14	14	8	161	193	210	211	228	196	217	192	107	99	91	91	92	97	85	84	2	6	6	3	4	8	5	5
03008	1215	30	22	19	11	19	10	9	13	11	5	7	6	2	2	4	5	7	5	3	4	2	57	70	80	76	93	73	83	74	60	58	51	40	53	50	44	47	2	0	1	1	0	2	0	4
03009	2423	32	25	14	10	16	12	7	15	14	8	13	8	10	1	3	8	4	2	5	2	4	124	166	186	172	204	168	176	164	123	111	103	92	112	99	95	86	1	9	6	4	1	3	4	1
03010	790	25	14	10	8	13	4	5	7	3	7	4	1	5	0	1	5	3	3	1	2	4	37	52	70	60	73	58	64	59	31	25	20	18	19	24	19	20	2	5	2	2	0	2	2	1
03011	1935	23	28	12	10	12	6	8	8	6	10	6	1	4	1	3	0	2	0	1	0	1	121	151	165	166	185	153	159	155	82	71	65	63	72	62	57	53	1	1	1	0	3	3	2	2
03012	1998	36	32	20	17	23	23	17	21	14	7	7	4	8	0	5	8	9	5	3	2	6	102	127	161	150	175	148	166	144	81	67	65	69	73	63	56	55	2	7	7	1	0	5	4	3
03013	2887	26	29	24	17	15	15	19	24	7	6	6	3	3	3	5	16	10	9	13	15	20	197	220	247	242	258	229	248	236	99	88	84	75	88	88	75	76	8	9	7	5	7	6	4	6
03014	2442	31	21	12	21	19	20	18	21	15	14	16	11	9	12	11	10	14	14	10	7	15	108	139	149	142	162	136	137	121	142	124	120	114	117	118	107	107	9	18	12	8	8	13	6	4
03015	1476	27	26	11	6	10	10	7	15	10	6	6	6	6	3	3	3	6	2	2	2	2	77	87	114	108	122	102	115	104	65	67	62	59	61	58	43	45	1	5	4	2	1	1	3	1
03016	1551	33	27	17	13	22	16	13	13	9	7	6	5	3	3	2	7	9	3	4	3	4	97	114	126	114	153	111	123	109	57	51	46	43	49	46	42	40	0	1	1	2	1	2	2	2
03017	2948	41	40	30	26	24	28	22	34	14	15	14	11	7	6	5	8	10	9	7	5	9	140	148	176	170	189	166	177	166	170	170	143	149	164	143	140	133	5	7	3	5	6	7	3	3
03018	1584	26	24	19	10	12	10	7	12	8	12	13	5	3	2	3	4	5	3	6	6	5	61	101	102	94	123	92	103	94	91	81	68	62	78	72	77	70	2	5	3	3	0	5	0	2
03019	2423	19	23	19	22	16	16	16	16	8	10	9	8	9	9	10	9	7	8	7	6	7	174	192	227	216	230	218	221	215	68	65	58	56	51	55	48	47	7	6	2	3	4	3	2	1
03020	2306	52	41	26	19	29	24	19	26	13	16	14	8	12	3	6	4	13	6	4	7	4	105	131	160	148	180	144	160	139	108	95	97	97	103	99	85	89	3	3	1	2	4	2	3	2
03021	2512	28	22	14	11	21	15	14	17	9	9	8	7	4	3	2	11	11	6	9	11	9	178	201	230	217	240	212	222	210	73	73	64	61	68	64	68	60	4	8	3	2	4	7	1	1
03022	2887	26	23	20	23	22	21	19	20	16	8	8	6	9	4	7	20	19	15	17	17	20	149	171	190	170	193	172	173	169	159	152	141	140	142	146	132	126	6	4	2	1	1	4	2	2
03023	979	13	8	8	6	15	4	3	6	7	8	4	5	5	2	5	1	1	1	1	3	2	53	71	76	66	82	63	73	66	45	44	35	34	39	39	34	38	0	1	3	2	2	5	0	0
03024	1490	29	22	15	14	27	13	13	14	12	12	8	11	5	6	10	3	9	3	3	3	3	70	101	99	98	120	101	107	95	64	63	51	46	60	52	51	52	5	2	3	1	2	6	3	3
03025	3823	31	25	26	26	22	21	22	19	13	8	9	3	6	2	3	24	18	16	20	17	14	263	297	332	331	347	318	334	329	116	112	104	105	103	107	102	98	14	17	12	10	7	10	5	5
03026	2819	26	23	23	16	20	25	23	24	11	4	10	5	7	7	8	9	10	9	12	15	13	210	223	245	236	263	233	241	230	84	80	70	67	73	71	62	68	8	11	8	5	9	8	7	7
03027	2678	27	22	20	19	18	22	20	25	8	6	6	4	6	4	5	19	15	12	18	21	13	162	190	201	197	219	190	205	192	114	103	97	89	105	98	87	83	3	7	6	3	6	6	4	1
03028	1268	21	20	11	9	10	15	6	11	10	7	7	6	11	4	5	4	5	3	3	2	3	90	109	118	112	123	112	116	100	37	27	19	21	21	24	24	20	4	2	5	2	1	5	2	1
03029	1614	26	25	12	10	18	14	12	17	11	8	5	7	6	2	0	4	5	9	2	7	5	76	100	125	114	120	113	128	108	78	71	60	55	68	63	57	59	2	3	2	1	1	2	1	2
03030	924	14	13	13	5	9	8	4	5	8	3	4	3	3	1	6	2	5	1	2	1	3	50	75	74	69	81	68	72	71	32	32	27	25	35	30	28	25	3	3	2	3	1	1	3	1
03031	2384	48	33	28	17	29	21	14	26	10	12	12	7	13	4	5	7	6	9	3	7	7	116	163	172	168	191	155	171	155	109	99	87	83	107	88	88	88	2	5	2	2	2	4	5	4
03032	2865	30	27	20	22	18	21	20	17	8	11	11	9	8	3	5	8	12	8	11	11	9	168	186	206	194	208	198	199	190	132	123	119	120	123	123	118	115	6	10	6	6	7	8	5	6
03033	2843	33	36	33	33	31	36	29	34	15	9	10	5	11	7	8	13	14	13	15	13	9	142	154	181	167	186	154	166	155	146	152	140	135	137	134	130	129	1	5	5	5	5	4	2	1
03034	2906	30	34	22	19	26	21	17	21	18	11	13	4	11	3	1	15	12	12	17	14	11	161	182	203	204	215	198	200	193	141	131	111	112	118	122	109	111	7	10	7	10	7	9	7	6
03035	222	5	6	2	0	0	2	2	2	1	2	2	1	0	0	1	0	2	0	0	1	0	9	10	11	11	11	10	9	7	16	15	16	14	15	13	13	11	0	0	1	1	0	0	0	0
03036	884	16	20	9	8	13	6	2	9	6	6	8	4	7	1	2	3	16	2	3	4	2	51	67	73	71	82	66	72	63	28	30	20	18	22	19	23	18	0	1	1	3	2	5	1	1
03037	1805	21	24	9	12	14	8	6	17	8	11	10	6	4	2	4	5	8	7	2	1	4	83	104	147	139	160	135	142	141	87	79	64	58	68	62	64	61	3	3	5	1	4	7	2	3
03039	3032	32	27	24	29	25	31	26	28	7	7	10	5	9	7	7	8	6	6	6	8	6	179	192	220	219	229	212	220	215	141	134	122	125	123	126	115	114	2	7	2	5	8	5	2	1
03040	1850	24	24	19	17	15	13	16	17	7	8	6	4	5	3	4	10	5	3	2	3	5	110	134	153	146	161	136	149	140	76	70	65	56	61	60	58	51	2	2	1	3	1	2	1	2
04002	3030	38	31	25	27	26	27	24	30	13	9	13	7	8	5	5	13	15	14	13	12	10	195	208	227	218	225	212	220	210	127	119	114	112	112	111	99	98	6	11	12	6	7	6	4	6
04004	2462	60	45	31	26	34	31	18	17	19	11	19	4	13	5	10	6	12	3	2	2	8	121	169	187	169	193	161	177	159	98	95	88	79	97	84	89	84	5	6	3	5	2	6	2	7
04005	2733	43	32	24	16	25	19	19	21	8	13	8	5	12	4	6	3	11	0	2	4	3	161	191	209	194	226	187	212	181	119	112	101	97	119	102	100	104	4	3	8	6	5	5	3	6
04006	2901	61	40	15	29	35	26	19	27	16	22	13	8	8	3	7	4	12	7	7	4	8	186	221	263	255	275	255	276	238	73	71	67	64	77	66	63	56	2	5	3	4	1	3	3	3
04007	2671	42	30	23	18	33	22	13	21	12	5	9	5	10	4	7	5	11	4	2	6	5	165	191	236	219	247	222	232	221	98	89	73	71	82	77	73	66	1	2	5	2	2	6	1	3
04008	340	2	2	2	1	2	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	23	26	30	30	31	30	30	30	13	13	11	11	12	12	12	11	0	0	0	0	0	1	0	0
04010	3127	56	46	30	27	29	29	26	32	9	7	15	4	4	4	5	0	8	7	5	5	5	188	217	262	245	276	245	255	240	123	114	106	93	110	102	96	79	3	3	4	4	2	3	2	2
