Precinct	total_votes	votes|Pat Dowell
03001	327	327
03002	377	377
03003	160	160
03004	329	329
03005	151	151
03006	324	324
03007	200	200
03008	181	181
03009	320	320
03010	107	107
03011	242	242
03012	290	290
03013	334	334
03014	289	289
03015	217	217
03016	211	211
03017	354	354
03018	356	356
03019	276	276
03020	296	296
03021	296	296
03022	324	324
03023	197	197
03024	208	208
03025	408	408
03026	328	328
03027	325	325
03028	188	188
03029	249	249
03030	218	218
03031	295	295
03032	323	323
03033	308	308
03034	344	344
03035	131	131
03036	110	110
03037	242	242
03038	245	245
03039	328	328
03040	215	215
03041	216	216
