Precinct	total_votes	votes|Kelly M. Cassidy
40028	564	564
40037	7	7
48001	583	583
48002	246	246
48003	648	648
48005	312	312
48006	671	671
48007	612	612
48008	282	282
48009	355	355
48010	835	835
48011	486	486
48012	713	713
48013	711	711
48014	247	247
48015	360	360
48016	632	632
48018	369	369
48019	410	410
48020	212	212
48021	29	29
48022	427	427
48025	477	477
48026	275	275
48027	578	578
48028	618	618
48029	245	245
48030	490	490
48031	808	808
48032	621	621
48033	306	306
48034	484	484
48036	297	297
48037	614	614
48038	507	507
48039	417	417
48040	515	515
48041	768	768
48042	649	649
48043	669	669
48044	739	739
48045	437	437
48046	351	351
49001	374	374
49002	382	382
49003	720	720
49004	748	748
49005	540	540
49006	512	512
49007	463	463
49008	505	505
49009	603	603
49010	658	658
49011	769	769
49012	704	704
49013	663	663
49014	462	462
49015	435	435
49016	531	531
49017	438	438
49018	748	748
49019	553	553
49020	898	898
49021	346	346
49022	595	595
49023	752	752
49024	468	468
49025	741	741
49026	661	661
49027	664	664
49028	848	848
49029	700	700
49030	612	612
49031	417	417
49032	558	558
49033	472	472
50008	360	360
50028	0	0
Evanston Ward 8 Precinct 3	549	549
Evanston Ward 8 Precinct 5	882	882
