Precinct	total_votes	votes|Elizabeth ''Lisa'' Hernandez
12016	15	15
22003	620	620
22004	191	191
22005	361	361
22006	384	384
22007	266	266
22009	330	330
22010	8	8
22011	323	323
22013	183	183
22015	61	61
22016	11	11
22017	413	413
22018	158	158
22020	401	401
22024	474	474
22025	386	386
Berwyn Ward 1 Precinct 1	427	427
Berwyn Ward 1 Precinct 2	486	486
Berwyn Ward 1 Precinct 3	750	750
Berwyn Ward 1 Precinct 4	418	418
Berwyn Ward 1 Precinct 5	397	397
Berwyn Ward 2 Precinct 1	334	334
Berwyn Ward 2 Precinct 2	510	510
Berwyn Ward 2 Precinct 3	685	685
Berwyn Ward 2 Precinct 4	863	863
Berwyn Ward 3 Precinct 1	369	369
Berwyn Ward 3 Precinct 2	365	365
Berwyn Ward 3 Precinct 4	546	546
Berwyn Ward 3 Precinct 5	658	658
Berwyn Ward 4 Precinct 1	385	385
Berwyn Ward 4 Precinct 2	582	582
Berwyn Ward 4 Precinct 3	693	693
Berwyn Ward 4 Precinct 4	366	366
Berwyn Ward 5 Precinct 1	859	859
Berwyn Ward 5 Precinct 3	453	453
Berwyn Ward 6 Precinct 1	277	277
Berwyn Ward 6 Precinct 2	418	418
Berwyn Ward 6 Precinct 4	655	655
Cicero 5	653	653
Cicero 7	369	369
Cicero 10	604	604
Cicero 11	587	587
Cicero 12	450	450
Cicero 13	155	155
Cicero 14	513	513
Cicero 19	747	747
Cicero 21	566	566
Cicero 22	468	468
Cicero 25	523	523
Cicero 26	425	425
Cicero 27	272	272
Cicero 29	564	564
Cicero 32	460	460
Lyons 2	439	439
Lyons 45	811	811
Proviso 27	640	640
Riverside 1	319	319
Riverside 5	427	427
Riverside 11	494	494
Stickney 17	257	257
