Precinct	total_votes	votes|Eva Dina Delgado
01002	334	334
01017	8	8
01026	45	45
26024	7	7
26037	381	381
29015	32	32
29023	52	52
29024	50	50
29029	98	98
29030	322	322
29031	225	225
29036	270	270
29038	461	461
29039	430	430
30002	466	466
30005	355	355
30006	356	356
30009	127	127
30010	453	453
30011	454	454
30012	394	394
30013	425	425
30014	338	338
30016	224	224
30019	340	340
30021	320	320
30029	310	310
30030	191	191
31003	306	306
31004	264	264
31014	66	66
31015	288	288
31016	203	203
31019	273	273
31021	36	36
31022	280	280
31025	302	302
31031	244	244
31039	356	356
35002	459	459
35003	114	114
35007	553	553
35008	524	524
35014	402	402
35018	334	334
35019	194	194
35021	58	58
36001	407	407
36002	421	421
36003	361	361
36004	456	456
36005	378	378
36006	362	362
36007	449	449
36008	337	337
36009	399	399
36010	513	513
36011	296	296
36012	131	131
36013	312	312
36015	429	429
36018	94	94
36019	529	529
36021	378	378
36022	380	380
36023	366	366
36024	501	501
36025	425	425
36026	373	373
36027	364	364
36028	389	389
36029	428	428
36030	422	422
37022	130	130
37026	1	1
38004	382	382
38008	363	363
38010	372	372
38016	372	372
38021	14	14
38037	400	400
38039	302	302
Leyden 28	309	309
Leyden 34	184	184
