Precinct	total_votes	votes|John P. Daley
11001	244	244
11002	14	14
11003	182	182
11004	177	177
11005	288	288
11006	249	249
11007	223	223
11008	208	208
11009	192	192
11010	207	207
11011	197	197
11012	320	320
11013	249	249
11014	117	117
11015	92	92
11016	151	151
11017	317	317
11018	188	188
11019	271	271
11020	172	172
11021	349	349
11022	264	264
11023	170	170
11024	369	369
11025	280	280
11026	267	267
11027	76	76
11028	92	92
11029	290	290
11030	102	102
11031	233	233
11032	109	109
11033	237	237
11034	79	79
11035	41	41
11036	75	75
11037	47	47
11038	101	101
