Precinct	total_votes	votes|Elizabeth ''Lisa'' Hernandez
12016	4	4
22003	226	226
22004	39	39
22005	136	136
22006	170	170
22007	24	24
22009	119	119
22010	4	4
22011	145	145
22013	59	59
22015	26	26
22016	4	4
22017	123	123
22018	66	66
22020	173	173
22024	193	193
22025	169	169
Berwyn Ward 1 Precinct 1	170	170
Berwyn Ward 1 Precinct 2	176	176
Berwyn Ward 1 Precinct 3	324	324
Berwyn Ward 1 Precinct 4	214	214
Berwyn Ward 1 Precinct 5	160	160
Berwyn Ward 2 Precinct 1	118	118
Berwyn Ward 2 Precinct 2	170	170
Berwyn Ward 2 Precinct 3	273	273
Berwyn Ward 2 Precinct 4	281	281
Berwyn Ward 3 Precinct 1	135	135
Berwyn Ward 3 Precinct 2	147	147
Berwyn Ward 3 Precinct 4	190	190
Berwyn Ward 3 Precinct 5	256	256
Berwyn Ward 4 Precinct 1	105	105
Berwyn Ward 4 Precinct 2	199	199
Berwyn Ward 4 Precinct 3	222	222
Berwyn Ward 4 Precinct 4	140	140
Berwyn Ward 5 Precinct 1	314	314
Berwyn Ward 5 Precinct 3	143	143
Berwyn Ward 6 Precinct 1	92	92
Berwyn Ward 6 Precinct 2	151	151
Berwyn Ward 6 Precinct 4	220	220
Cicero 5	329	329
Cicero 7	112	112
Cicero 10	204	204
Cicero 11	237	237
Cicero 12	192	192
Cicero 13	68	68
Cicero 14	192	192
Cicero 19	276	276
Cicero 21	184	184
Cicero 22	164	164
Cicero 25	205	205
Cicero 26	161	161
Cicero 27	79	79
Cicero 29	207	207
Cicero 32	143	143
Lyons 2	195	195
Lyons 45	334	334
Proviso 27	249	249
Riverside 1	140	140
Riverside 5	162	162
Riverside 11	200	200
Stickney 17	85	85
