Precinct	total_votes	votes|Michael J. Madigan
13001	159	159
13002	151	151
13003	156	156
13004	183	183
13005	214	214
13006	207	207
13007	139	139
13008	127	127
13009	168	168
13010	161	161
13011	223	223
13012	161	161
13013	194	194
13014	164	164
13015	269	269
13016	127	127
13017	134	134
13018	136	136
13019	245	245
13020	127	127
13021	177	177
13022	171	171
13023	132	132
13024	162	162
13025	181	181
13026	156	156
13027	155	155
13028	157	157
13029	138	138
13030	162	162
13031	166	166
13032	155	155
13033	164	164
13034	236	236
13035	221	221
13036	124	124
13037	187	187
13038	168	168
13039	179	179
13040	159	159
13041	223	223
13042	183	183
13043	171	171
13044	185	185
13045	220	220
13046	202	202
13047	209	209
13048	156	156
